Log Pis Min,Test Returns Mean,Test Rewards Min,Policy mu Std,VF Loss,Exploration Actions Max,V Predictions Mean,Log Pis Std,Test Actions Min,Policy mu Max,Policy log std Mean,Log Pis Mean,Test Actions Mean,Policy log std Std,Test Rewards Std,Epoch Time (s),Exploration Returns Mean,AverageReturn,Exploration Rewards Max,Epoch,Exploration Actions Min,Test Actions Max,Q Predictions Max,Train Time (s),Exploration Returns Min,Q Predictions Min,Exploration Actions Std,Exploration Actions Mean,Number of env steps total,Test Returns Std,Exploration Returns Std,Policy mu Min,Q Predictions Mean,V Predictions Std,Q Predictions Std,Policy Loss,Test Rewards Max,Total Train Time (s),Test Actions Std,V Predictions Max,Num Paths,Test Returns Max,Number of rollouts total,Test Rewards Mean,Exploration Rewards Std,Exploration Rewards Min,V Predictions Min,Policy log std Min,Policy log std Max,Policy mu Mean,Number of train steps total,(Previous) Eval Time (s),Log Pis Max,Sample Time (s),Test Returns Min,Exploration Returns Max,Exploration Rewards Mean,QF Loss
-0.920053,34.724137931,1.0,0.000162305,0.492895,0.990206,-0.000185025,0.223597,-0.384903,-0.000278406,0.000938351,-0.667032,0.0327998,0.000172862,0.0,1362.8802794022486,9.70588235294,34.724137931,1.0,0,-0.996599,0.483056,-0.000654438,1354.4588196780533,3.0,-0.00263851,0.602262,0.00152311,1000,1.20047553004,10.0025371637,-0.000943729,-0.00170864,0.000789562,0.00053895,0.493909,1.0,1369.9049063287675,0.367223,0.00155802,102,37.0,102,1.0,0.0,1.0,-0.00156982,0.000743878,0.00171238,-0.000486585,3492,0,-0.262597,8.421459724195302,32.0,71.0,1.0,1.00317
-2.40309,64.0625,1.0,0.744488,7.03557,0.991915,14.6205,0.857757,-0.119811,1.46561,-0.472732,-0.0913191,0.0348012,0.0911566,0.0,1567.2859058193862,29.5882352941,64.0625,1.0,1,-0.994664,0.920945,16.5593,1551.3602674212307,3.0,-0.0912328,0.621931,0.0108161,2000,0.826797284708,18.0898373274,-1.14796,13.6342,0.396652,3.29909,1.41233,1.0,2936.1780628366396,0.0837224,16.0883,34,66.0,136,1.0,0.0,1.0,13.7695,-0.675078,-0.32055,-0.0631188,7492,7.03466228581965,1.78054,8.89097611233592,63.0,86.0,1.0,6.29708
-1.78377,58.6666666667,1.0,0.715957,11.1486,0.987318,22.1722,0.778822,-0.925309,1.88447,-0.372416,-0.215044,-0.0376236,0.154839,0.0,1555.8925413265824,29.0588235294,58.6666666667,1.0,2,-0.988572,0.175343,25.0967,1540.7911605248228,4.0,-2.92125,0.628421,0.00132546,3000,0.881917103688,26.0248084996,-1.34539,21.0224,1.75378,4.8247,1.25981,1.0,4493.427398352884,0.106597,24.8094,34,60.0,170,1.0,0.0,1.0,12.35,-0.9193,-0.19982,-0.0174746,11492,6.017417616210878,2.51212,9.083963185548782,57.0,113.0,1.0,4.66099
-2.58801,46.0909090909,1.0,0.771978,19.848,0.996894,28.0172,1.03517,-0.949336,2.22637,-0.412716,-0.104759,-0.0534366,0.288359,0.0,1558.072337700054,22.4,46.0909090909,1.0,3,-0.986474,0.204352,37.213,1541.1861882871017,3.0,-0.372569,0.655973,0.00278263,4000,0.596130774937,18.4407760743,-2.10658,26.2114,2.71091,6.52006,3.28888,1.0,6050.983913372271,0.136703,39.2236,45,47.0,215,1.0,0.0,1.0,18.5173,-1.38825,-0.172294,0.175384,15492,7.3753223000094295,3.41244,9.510827112942934,45.0,89.0,1.0,7.20501
-1.95049,53.6842105263,1.0,0.782951,36.3121,0.997817,27.9667,1.12586,-0.976589,4.32074,-0.188672,-0.339875,-0.0470162,0.285323,0.0,1563.2692273790017,23.0930232558,53.6842105263,1.0,4,-0.98603,0.0230828,42.3552,1547.25090449024,3.0,-0.913528,0.651205,-0.00161422,5000,0.976170367947,17.6342873647,-1.55008,27.062,2.5997,6.38391,5.41254,1.0,7613.240654178895,0.132847,41.898,43,55.0,258,1.0,0.0,1.0,16.4557,-1.39786,0.0113151,0.259184,19492,6.863210054114461,7.40247,9.155112834647298,52.0,68.0,1.0,5.38288
-2.5423,42.5416666667,1.0,0.656646,26.1357,0.998314,28.0673,1.05329,-0.992363,3.55815,-0.342475,-0.333194,-0.0632015,0.289059,0.0,1561.963251201436,18.2727272727,42.5416666667,1.0,5,-0.994318,0.0777758,33.4884,1546.9608764545992,3.0,-0.69658,0.649724,0.0125562,6000,0.498260864296,15.522950218,-1.55892,26.8912,1.6537,6.1764,4.77924,1.0,9177.67437130399,0.135363,33.4256,55,43.0,313,1.0,0.0,1.0,22.8168,-1.57608,-0.133223,0.0477263,23492,5.8489694790914655,6.47343,9.153405267745256,42.0,63.0,1.0,1.05447
-3.22832,38.2222222222,1.0,0.77427,28.5677,0.999904,26.2371,1.08507,-0.972741,2.87054,-0.297239,-0.287444,-0.0699446,0.286959,0.0,1560.3887828672305,18.6481481481,38.2222222222,1.0,6,-0.997003,0.179234,29.475,1543.0815045544878,3.0,-0.972843,0.651843,-0.00674736,7000,0.628539361055,18.1772725487,-2.03523,25.2605,1.43528,5.15728,4.00821,1.0,10736.936281600036,0.173203,30.371,54,39.0,367,1.0,0.0,1.0,19.765,-1.22424,-0.0460044,0.118852,27492,8.318282252177596,4.1882,8.988996060565114,37.0,91.0,1.0,4.322
-3.66282,38.0740740741,1.0,0.571086,19.9636,0.99906,25.3634,0.905337,-0.126897,1.91866,-0.456055,-0.326077,0.0779673,0.251079,0.0,1564.0352751640603,14.5588235294,38.0740740741,1.0,7,-0.993746,0.920228,27.6916,1547.6536847501993,3.0,0.533489,0.638822,-0.00121403,8000,0.939894632626,13.8206818093,-2.18604,24.7076,0.896961,4.3156,3.0339,1.0,12302.134602006525,0.15093,27.9391,68,40.0,435,1.0,0.0,1.0,22.0594,-1.52069,-0.254892,0.1229,31492,7.19201731774956,3.69827,9.189573096111417,36.0,56.0,1.0,2.75876
