Log Pis Min,Test Returns Mean,Test Rewards Min,Policy mu Std,VF Loss,Exploration Actions Max,V Predictions Mean,Log Pis Std,Test Actions Min,Policy mu Max,Policy log std Mean,Log Pis Mean,Test Actions Mean,Policy log std Std,Test Rewards Std,Epoch Time (s),Exploration Returns Mean,AverageReturn,Exploration Rewards Max,Epoch,Exploration Actions Min,Test Actions Max,Q Predictions Max,Train Time (s),Exploration Returns Min,Q Predictions Min,Exploration Actions Std,Exploration Actions Mean,Number of env steps total,Test Returns Std,Exploration Returns Std,Policy mu Min,Q Predictions Mean,V Predictions Std,Q Predictions Std,Policy Loss,Test Rewards Max,Total Train Time (s),Test Actions Std,V Predictions Max,Num Paths,Test Returns Max,Number of rollouts total,Test Rewards Mean,Exploration Rewards Std,Exploration Rewards Min,V Predictions Min,Policy log std Min,Policy log std Max,Policy mu Mean,Number of train steps total,(Previous) Eval Time (s),Log Pis Max,Sample Time (s),Test Returns Min,Exploration Returns Max,Exploration Rewards Mean,QF Loss
-0.920038,5.0,1.0,0.000153949,0.492966,0.994284,-0.000221419,0.223581,-0.212926,-0.000273712,0.000927391,-0.667037,-0.207406,0.000149189,0.0,347.1749924151227,53.1016042781,5.0,10.0,0,-0.988583,-0.201631,-0.000679135,338.4554014382884,30.0,-0.00263203,0.605875,0.0153319,1000,0.0,26.528268599,-0.000892966,-0.00169818,0.000770196,0.000537784,0.493945,1.0,351.85546134319156,0.004104,0.00128565,187,5.0,187,1.0,0.0,10.0,-0.00154107,0.000742806,0.00158951,-0.000479298,873,0,-0.263402,8.719590976834297,5.0,210.0,10.0,100.031
-1.42793,4.0,1.0,0.00859068,0.0251346,0.993683,41.3545,0.28162,-0.370543,-0.204421,-0.130302,-0.658,-0.363324,0.00254221,0.0,400.5394831318408,50.35,4.0,10.0,1,-0.997158,-0.356655,43.0059,386.5823272112757,30.0,37.8925,0.601991,-0.0307498,2000,0.0,27.6473778142,-0.245906,40.577,0.821966,0.93452,-0.0221624,1.0,753.124583302997,0.00502961,43.3034,200,4.0,387,1.0,0.0,10.0,39.1918,-0.141426,-0.126764,-0.216854,1873,4.685195519588888,-0.130927,9.27196040097624,4.0,240.0,10.0,225.016
-2.02821,5.99401197605,1.0,0.00833383,0.107193,0.992225,51.1591,0.452515,-0.154803,-0.364752,-0.173005,-0.585576,-0.132214,0.00318564,0.0,398.99553745333105,52.3560209424,5.99401197605,10.0,2,-0.988232,-0.105783,53.9888,384.5878348359838,30.0,47.2792,0.58805,0.0299909,3000,0.0771502917768,26.3325282664,-0.403898,50.7142,1.2908,1.39581,0.208259,1.0,1152.5699451398104,0.0172167,53.9036,191,6.0,578,1.0,0.0,10.0,47.1557,-0.177795,-0.166223,-0.37522,2873,5.415856001898646,0.12801,8.991846615448594,5.0,190.0,10.0,504.633
-1.79501,8.70434782609,1.0,0.0237378,0.0699332,0.990967,52.6623,0.203742,-0.0584468,-0.0836378,-0.119058,-0.688855,-0.0518019,0.00596845,0.0,397.1474635004997,54.6448087432,8.70434782609,10.0,3,-0.9956,-0.0463779,55.246,382.18015325441957,20.0,48.3298,0.594914,-0.0133628,4000,0.456335365684,29.1361897821,-0.156308,52.1124,1.50699,1.44049,0.137909,1.0,1549.742951712571,0.00386878,55.9907,183,9.0,761,1.0,0.0,10.0,48.7858,-0.126465,-0.108334,-0.126843,3873,5.866055166348815,-0.2431,9.101255079731345,8.0,190.0,10.0,465.881
-1.03924,5.0,1.0,0.00678956,0.0378897,0.98976,54.2415,0.108422,0.206955,-0.0461823,-0.123971,-0.684417,0.220671,0.00755736,0.0,398.664114148356,50.1507537688,5.0,10.0,4,-0.98537,0.236952,58.2758,383.812832409516,30.0,49.1713,0.586836,0.0453504,5000,0.0,25.5291219448,-0.0736436,53.6785,1.99081,2.00679,0.0871995,1.0,1949.9430603431538,0.0111464,58.959,199,5.0,960,1.0,0.0,10.0,50.0216,-0.154747,-0.118966,-0.0573564,4873,5.892018908634782,-0.411265,8.959262830205262,5.0,240.0,10.0,526.425
-1.79208,5.9880952381,1.0,0.0110485,0.14699,0.982438,53.5098,0.293346,0.145444,0.247591,-0.139258,-0.682561,0.149323,0.0015657,0.0,401.97961460985243,51.0714285714,5.9880952381,10.0,5,-0.997395,0.15658,56.4007,385.2183424877003,30.0,50.2988,0.590602,-0.0670559,6000,0.108457542609,29.6471597566,0.2094,53.1201,1.3061,1.24425,0.273342,1.0,2351.8420983850956,0.003449,56.9838,196,6.0,1156,1.0,0.0,10.0,50.6638,-0.146495,-0.137004,0.228256,5873,7.429632436484098,-0.113258,9.331639685668051,5.0,190.0,10.0,430.007
-1.74322,7.98412698413,1.0,0.0118643,0.0377686,0.991114,53.2411,0.217464,-0.0727637,0.19935,-0.128321,-0.653594,-0.0695342,0.00140121,0.0,399.18812108039856,57.2,7.98412698413,10.0,6,-0.986889,-0.0674014,53.7312,382.16171110607684,20.0,50.8902,0.603519,0.0373896,7000,0.124984251968,37.8061219532,0.140584,52.442,0.563774,0.524874,-0.0428235,1.0,2751.16977643501,0.00134194,54.6831,175,8.0,1331,1.0,0.0,10.0,51.7757,-0.134001,-0.125873,0.154739,6873,7.350702193565667,-0.211011,9.675707780756056,7.0,300.0,10.0,380.966
-2.65312,7.0,1.0,0.00413467,0.104839,0.997244,53.8514,0.221035,0.0788392,-0.0635956,-0.133475,-0.698608,0.0871939,0.00340625,0.0,397.84596512652934,55.1666666667,7.0,10.0,7,-0.996419,0.0948552,54.3936,381.0920121911913,20.0,52.1781,0.596907,0.0767557,8000,0.0,31.6662280671,-0.0796292,53.3554,0.277945,0.414247,0.181149,1.0,3149.9997711684555,0.00535087,54.7694,180,7.0,1511,1.0,0.0,10.0,53.1823,-0.142415,-0.126478,-0.0700633,7873,7.490798433311284,-0.404953,9.263154502026737,7.0,170.0,10.0,423.765
-1.55511,5.99401197605,1.0,0.00606094,0.0169317,0.986447,53.6622,0.155102,-0.146611,0.098492,-0.132214,-0.692164,-0.144521,0.000972063,0.0,400.0201941197738,54.5652173913,5.99401197605,10.0,8,-0.990651,-0.143203,53.5829,382.182793751359,30.0,52.5109,0.608293,-0.0643089,9000,0.0771502917768,28.5487014659,0.077544,53.0347,0.221511,0.204367,0.0511521,1.0,3548.5770099246874,0.00103346,54.1843,184,6.0,1695,1.0,0.0,10.0,53.1167,-0.134264,-0.129418,0.0872827,8873,8.471327753737569,-0.363913,9.36607261467725,5.0,210.0,10.0,489.485
-1.60473,6.75838926174,1.0,0.00390839,0.0434799,0.989596,54.279,0.190073,0.102089,-0.139943,-0.146262,-0.704865,0.104503,0.0053503,0.0,401.53694575931877,54.6994535519,6.75838926174,10.0,9,-0.995592,0.110226,55.0929,385.3338230168447,30.0,52.4389,0.587664,-0.0164275,10000,0.428059562929,29.0052256405,-0.174585,53.7067,0.460521,0.472239,0.116748,1.0,3949.7715799622238,0.00209026,55.5732,183,7.0,1878,1.0,0.0,10.0,52.8835,-0.15379,-0.13644,-0.146525,9873,7.030470195226371,-0.286428,9.172652547247708,6.0,160.0,10.0,489.909
