Test Returns Min,Exploration Returns Std,Policy log std Min,Exploration Returns Max,Q Predictions Std,Epoch,Policy Loss,Exploration Actions Min,Q Predictions Min,V Predictions Mean,Exploration Rewards Max,Log Pis Max,Exploration Actions Std,Exploration Rewards Min,Sample Time (s),Q Predictions Mean,Test Returns Max,V Predictions Min,Train Time (s),Test Returns Std,Policy mu Mean,Exploration Rewards Std,VF Loss,Test Actions Mean,Num Paths,Exploration Actions Mean,Number of env steps total,Total Train Time (s),Policy log std Mean,Test Actions Std,Log Pis Std,Policy log std Max,Policy log std Std,Number of rollouts total,V Predictions Std,Log Pis Mean,(Previous) Eval Time (s),Epoch Time (s),Exploration Returns Min,Policy mu Min,Number of train steps total,AverageReturn,V Predictions Max,Policy mu Std,Log Pis Min,QF Loss,Test Rewards Max,Test Actions Max,Test Rewards Std,Test Rewards Min,Policy mu Max,Exploration Actions Max,Test Rewards Mean,Exploration Rewards Mean,Test Actions Min,Exploration Returns Mean,Test Returns Mean,Q Predictions Max
109.0,49.0388621401,-0.946487,225.0,2.7508,10,-0.0741089,-0.985563,0.969272,12.367,1.0,2.24719,0.549573,1.0,0.9051571926102042,11.1675,114.0,0.748032,32.21273209992796,1.93090524411,0.0432939,0.0,0.422501,0.0380218,10,0.00224143,11000,355.3212682493031,-0.675963,0.153637,0.850575,-0.290259,0.110558,644,2.13725,-0.152946,1.6783423004671931,34.79623159300536,66.0,-1.73665,10873,111.222222222,13.7146,0.738766,-3.16769,0.620397,1.0,0.930041,0.0,1.0,1.76948,0.979817,1.0,1.0,-0.0435169,105.7,111.222222222,13.0253
773.0,53.3463844576,-0.889047,221.0,3.31171,11,0.177033,-0.969155,0.904654,12.9392,1.0,2.04659,0.526082,1.0,0.8823710149154067,12.2133,836.0,1.9495,32.293980214744806,31.5,0.166562,0.0,0.329111,0.00604919,7,-0.00417137,12000,390.3385582808405,-0.675992,0.0641143,0.843584,-0.283405,0.0924896,651,1.92063,-0.15432,1.7082211785018444,34.88457240816206,66.0,-1.62001,11873,804.5,14.5864,0.669378,-3.17161,0.178192,1.0,0.941936,0.0,1.0,1.61047,0.994749,1.0,1.0,-0.0138267,143.142857143,804.5,14.6706
719.0,43.0555197132,-0.888771,153.0,3.38944,12,-0.0110099,-0.9757,-0.530197,14.6992,1.0,2.00702,0.526301,1.0,0.9027697257697582,13.2339,721.0,0.684241,34.30564592033625,1.0,0.0946543,0.0,0.272098,-0.00562647,9,-0.0168623,13000,427.2817619210109,-0.647977,0.0608664,0.753755,-0.131557,0.102723,660,1.95889,-0.205495,1.8375454097986221,37.04596105590463,31.0,-1.2399,12873,720.0,16.1724,0.623967,-2.37776,1.32657,1.0,0.0471116,0.0,1.0,1.82716,0.988433,1.0,1.0,-0.957573,95.6666666667,720.0,15.3895
461.0,53.5972636117,-0.935732,180.0,3.49549,13,0.127207,-0.985238,0.714416,15.0543,1.0,2.66926,0.539985,1.0,1.1328893527388573,14.1336,465.0,0.144009,33.043747811578214,1.63299316186,0.120913,0.0,0.297928,0.0126985,9,-0.0198354,14000,463.20506766811013,-0.712333,0.0936969,0.824065,-0.267626,0.0914966,669,2.77356,-0.137136,1.7353797890245914,35.91201695334166,6.0,-1.87104,13873,463.0,16.5636,0.714285,-3.73305,1.35853,1.0,0.947592,0.0,1.0,1.90437,0.984719,1.0,1.0,-0.0593708,121.0,463.0,16.5387
479.0,41.9583126448,-0.988839,199.0,3.85857,14,-0.0348555,-0.982458,0.280818,16.3946,1.0,2.61372,0.541276,1.0,0.9370972774922848,15.3414,647.0,-0.373082,32.085844981484115,84.0,-0.080222,0.0,0.337174,0.0113757,8,-0.00980273,15000,497.84953676350415,-0.737529,0.0833054,0.929862,-0.148033,0.111399,677,3.19198,-0.0802934,1.7483127238228917,34.77125498279929,63.0,-2.0573,14873,563.0,17.9728,0.709348,-4.87467,1.12838,1.0,0.951385,0.0,1.0,1.50594,0.987349,1.0,1.0,-0.0579335,124.5,563.0,17.8774
860.0,35.562445079,-0.919194,308.0,2.88001,15,0.0198708,-0.983881,1.3591,17.95,1.0,2.32046,0.543123,1.0,0.9064943818375468,16.9507,871.0,5.54412,32.409713139757514,5.5,0.0387641,0.0,0.133479,-0.00444588,4,0.00154735,16000,533.1673478959128,-0.659824,0.0540247,0.661324,-0.534889,0.0849234,681,1.35821,-0.164381,1.6217446522787213,34.93795217387378,215.0,-1.32388,15873,865.5,19.043,0.623459,-1.39547,0.649482,1.0,0.0301951,0.0,1.0,1.79898,0.991721,1.0,1.0,-0.954954,248.25,865.5,18.9337
537.0,43.6746175967,-0.919259,229.0,3.25624,16,0.0188609,-0.981347,-0.698032,18.6074,1.0,2.17387,0.532018,1.0,1.3307664226740599,18.1151,540.0,-1.76201,36.94865682628006,1.5,0.0667169,0.0,0.237312,0.0107537,6,0.0143332,17000,573.0741462949663,-0.646422,0.087456,0.762061,-0.246867,0.0874063,687,3.1237,-0.368998,2.000521066598594,40.27994431555271,100.0,-1.48951,16873,538.5,20.261,0.61989,-2.74902,2.0071,1.0,0.964592,0.0,1.0,2.00485,0.992915,1.0,1.0,-0.0479995,169.166666667,538.5,19.9824
614.0,34.3207905892,-0.932883,218.0,4.79051,17,0.0959841,-0.994129,0.662266,19.2891,1.0,1.95751,0.544572,1.0,1.065393160097301,18.0929,618.0,-0.914923,35.16595886927098,2.0,-0.093686,0.0,0.376914,-0.00964399,6,-0.0308317,18000,611.0153672760352,-0.750795,0.0805894,0.817523,-0.327994,0.0924175,693,2.84115,-0.0409608,1.6273450748994946,37.858697104267776,130.0,-2.21235,17873,616.0,20.7884,0.747889,-2.20097,4.59968,1.0,0.0348847,0.0,1.0,2.04634,0.990352,1.0,1.0,-0.949309,159.5,616.0,20.9468
440.0,40.0349847009,-1.02393,234.0,5.14594,18,-0.0514898,-0.991947,-0.751978,20.257,1.0,2.61312,0.515921,1.0,0.9247419880703092,19.0503,444.0,0.660721,34.29930631350726,1.63299316186,-0.0497819,0.0,0.622147,-0.0128308,5,0.0127171,19000,647.9654514240101,-0.683231,0.0968517,0.888069,-0.37333,0.0988799,698,3.21226,-0.123334,1.710225686430931,36.9342739880085,121.0,-1.99361,18873,442.0,22.0117,0.716509,-4.02121,4.53782,1.0,0.038395,0.0,1.0,1.87585,0.99476,1.0,1.0,-0.969426,163.0,442.0,22.0914
660.0,75.8102895391,-1.01143,330.0,4.04283,19,-0.134106,-0.975383,-0.0458303,21.1827,1.0,3.10837,0.525329,1.0,0.9583941288292408,21.0327,677.0,-1.14386,35.525599607266486,8.5,0.0354301,0.0,1.04738,0.0109241,5,0.00624814,20000,686.4840396065265,-0.71182,0.106438,0.913722,-0.376757,0.0963657,703,3.06357,-0.139989,1.732388368807733,38.21638210490346,128.0,-2.08739,19873,668.5,22.7678,0.733975,-2.90329,2.69816,1.0,0.964164,0.0,1.0,2.05572,0.989794,1.0,1.0,-0.960196,213.0,668.5,23.4764
