Log Pis Min,Test Returns Mean,Test Rewards Min,Policy mu Std,VF Loss,Exploration Actions Max,V Predictions Mean,Log Pis Std,Test Actions Min,Policy mu Max,Policy log std Mean,Log Pis Mean,Test Actions Mean,Policy log std Std,Test Rewards Std,Epoch Time (s),Exploration Returns Mean,AverageReturn,Exploration Rewards Max,Epoch,Exploration Actions Min,Test Actions Max,Q Predictions Max,Train Time (s),Exploration Returns Min,Q Predictions Min,Exploration Actions Std,Exploration Actions Mean,Number of env steps total,Test Returns Std,Exploration Returns Std,Policy mu Min,Q Predictions Mean,V Predictions Std,Q Predictions Std,Policy Loss,Test Rewards Max,Total Train Time (s),Test Actions Std,V Predictions Max,Num Paths,Test Returns Max,Number of rollouts total,Test Rewards Mean,Exploration Rewards Std,Exploration Rewards Min,V Predictions Min,Policy log std Min,Policy log std Max,Policy mu Mean,Number of train steps total,(Previous) Eval Time (s),Log Pis Max,Sample Time (s),Test Returns Min,Exploration Returns Max,Exploration Rewards Mean,QF Loss
-0.919887,19.862745098,1.0,0.000157575,0.49295,0.991946,-0.000217883,0.223608,-0.0462467,-0.000243666,0.000922317,-0.66702,0.0178638,0.000149336,0.0,347.1203595297411,2.9011627907,19.862745098,0.5,0,-0.986213,0.0615463,-0.000706426,338.95181475859135,1.5,-0.00263589,0.595636,0.00926249,1000,1.3433876967,1.72754659925,-0.000889228,-0.00167552,0.000771565,0.000541104,0.493931,1.0,351.5648043891415,0.0238771,0.00129693,172,22.0,172,1.0,0.0,0.5,-0.00161596,0.000743673,0.00158124,-0.000476874,873,0,-0.263101,8.168544771149755,18.0,11.0,0.5,0.251467
-2.00689,35.8214285714,1.0,0.204415,1.3809,0.994641,5.24357,0.280803,-0.0386011,0.274874,-0.178357,-0.658106,0.0195892,0.0126395,0.0,399.1887509515509,4.27826086957,35.8214285714,0.5,1,-0.993425,0.066936,5.807,385.6845478862524,1.5,1.10506,0.59005,-0.00532741,2000,3.18538595361,3.20881347728,-0.449834,4.49795,0.0931857,1.17007,0.0001404,1.0,752.2808983772993,0.0183875,5.55492,115,44.0,287,1.0,0.0,0.5,5.00279,-0.229929,-0.165236,-0.0869474,1873,4.4499891716986895,-0.0934597,9.054213893599808,31.0,15.0,0.5,1.94731
-1.94614,27.1351351351,1.0,0.372985,1.71166,0.994754,7.25963,0.421417,-0.0677772,0.569287,-0.210304,-0.555429,-0.0273964,0.030257,0.0,401.60969734285027,6.20731707317,27.1351351351,0.5,2,-0.980514,0.179659,8.06784,386.5632058493793,1.5,1.97882,0.592569,-0.0100321,3000,1.29786023822,4.0303355936,-0.597153,6.65178,0.152702,1.38406,0.0752561,1.0,1152.7328907996416,0.0374363,7.67258,82,30.0,369,1.0,0.0,0.5,6.8252,-0.255155,-0.13955,-0.0672525,2873,5.977936593815684,0.361505,9.068554899655282,24.0,18.5,0.5,1.97668
-2.17441,26.7894736842,1.0,0.496713,3.33193,0.992878,8.57081,0.56103,-0.126218,0.718711,-0.244886,-0.537043,-0.0358456,0.0768499,0.0,399.53900241758674,6.28481012658,26.7894736842,0.5,3,-0.997088,0.248833,9.54824,385.27750022429973,1.5,0.144383,0.603113,-0.00482365,4000,0.893187513078,3.83660215597,-1.10537,7.53681,0.211274,1.83904,0.067134,1.0,1553.7217482673004,0.0603822,9.28123,79,28.0,448,1.0,0.0,0.5,7.82595,-0.408119,-0.110919,0.0150115,3873,4.819783090613782,0.936972,9.441719102673233,25.0,18.5,0.5,3.39875
-1.47334,39.9615384615,1.0,0.537086,5.89308,0.987307,9.15588,0.524154,-0.0941348,0.760995,-0.245531,-0.4226,-0.0309643,0.0642664,0.0,402.04059605300426,7.39552238806,39.9615384615,0.5,4,-0.995809,0.135543,10.4783,386.64059235341847,1.5,0.178874,0.591152,-0.0200493,5000,1.22414080483,5.07741363341,-1.06811,7.82275,0.412971,2.59373,0.18546,1.0,1956.357431945391,0.0354495,10.2085,67,42.0,515,1.0,0.0,0.5,7.47187,-0.381452,-0.147637,0.0454795,4873,6.2795798340812325,0.879513,9.120423865504563,38.0,26.0,0.5,3.65149
-2.60406,56.5555555556,1.0,0.480834,2.88725,0.98913,9.84665,0.551397,-0.0852526,0.738215,-0.256599,-0.432911,-0.0274161,0.0773483,0.0,397.7425402374938,7.7734375,56.5555555556,0.5,5,-0.992112,0.100997,11.7572,381.7402110984549,1.5,0.259586,0.615542,5.40362e-05,6000,1.49897084036,5.39815484065,-1.27528,9.5319,0.487408,1.94539,0.565197,1.0,2354.518351010047,0.0280483,12.0397,64,60.0,579,1.0,0.0,0.5,8.11982,-0.493173,-0.198434,0.00610679,5873,6.858422413468361,1.35228,9.14390672557056,54.0,21.0,0.5,1.92683
-2.55829,66.0,1.0,0.608133,6.98332,0.994319,10.626,0.689664,-0.165405,0.992864,-0.267397,-0.457117,-0.0264744,0.170809,0.0,401.3650492178276,8.53389830508,66.0,0.5,6,-0.992754,0.0782952,12.2119,385.1044972091913,1.5,0.422239,0.632212,-0.000705983,7000,1.9364916731,6.36453654881,-1.48347,9.66606,0.634131,2.86745,0.70748,1.0,2757.2706530978903,0.0271772,13.0305,59,69.0,638,1.0,0.0,0.5,8.71836,-0.798402,-0.15528,-0.0112722,6873,7.279020833782852,1.87769,8.981531174853444,63.0,30.0,0.5,2.29808
-3.10451,62.0588235294,1.0,0.59605,7.91557,0.990094,11.3154,0.675062,-0.490846,1.28862,-0.310331,-0.393464,-0.0276249,0.162467,0.0,401.16278326977044,7.59230769231,62.0588235294,0.5,7,-0.997886,0.0665203,13.3037,383.0990060241893,1.5,0.0645093,0.630578,-0.00908026,8000,1.25887850347,5.43414582326,-1.2518,10.5413,0.627262,2.86371,0.795293,1.0,3157.379915117286,0.041168,12.7027,65,64.0,703,1.0,0.0,0.5,9.00385,-0.711537,-0.146101,0.0393825,7873,8.661415415816009,1.20738,9.402361829765141,59.0,23.5,0.5,3.05048
-1.86012,80.2307692308,1.0,0.386209,4.39419,0.990818,11.7067,0.417558,-0.0362226,1.07361,-0.272913,-0.563,0.0225243,0.141268,0.0,398.84565979242325,7.06944444444,80.2307692308,0.5,8,-0.988241,0.713971,14.4256,381.9281360292807,1.5,0.019256,0.647264,0.00956936,9000,2.45431632824,6.20724574118,-1.00616,11.4829,0.76463,2.31753,0.612792,1.0,3555.3357340060174,0.0616791,14.1045,72,84.0,775,1.0,0.0,0.5,8.61638,-0.719672,-0.156123,0.0782083,8873,7.60675454325974,0.844719,9.310769219882786,76.0,27.5,0.5,1.16107
-5.4335,51.45,1.0,0.718241,10.6908,0.991778,11.8764,0.953279,-0.0829655,1.70666,-0.316569,-0.260806,0.0440276,0.216811,0.0,400.279960446991,8.27049180328,51.45,0.5,9,-0.995653,0.881744,16.9151,384.2267499528825,1.5,-0.0408699,0.622524,0.00916953,10000,0.804673846972,6.92617615655,-1.56041,11.106,0.839629,3.29912,1.91509,1.0,3956.1736259628087,0.108422,16.2849,61,53.0,836,1.0,0.0,0.5,8.74375,-0.832576,-0.107435,0.0179432,9873,6.71345282625407,2.15652,9.339757667854428,50.0,31.5,0.5,1.24218
