Log Pis Min,Test Returns Mean,Test Rewards Min,Policy mu Std,VF Loss,Exploration Actions Max,V Predictions Mean,Log Pis Std,Test Actions Min,Policy mu Max,Policy log std Mean,Log Pis Mean,Test Actions Mean,Policy log std Std,Test Rewards Std,Epoch Time (s),Exploration Returns Mean,AverageReturn,Exploration Rewards Max,Epoch,Exploration Actions Min,Test Actions Max,Q Predictions Max,Train Time (s),Exploration Returns Min,Q Predictions Min,Exploration Actions Std,Exploration Actions Mean,Number of env steps total,Test Returns Std,Exploration Returns Std,Policy mu Min,Q Predictions Mean,V Predictions Std,Q Predictions Std,Policy Loss,Test Rewards Max,Total Train Time (s),Test Actions Std,V Predictions Max,Num Paths,Test Returns Max,Number of rollouts total,Test Rewards Mean,Exploration Rewards Std,Exploration Rewards Min,V Predictions Min,Policy log std Min,Policy log std Max,Policy mu Mean,Number of train steps total,(Previous) Eval Time (s),Log Pis Max,Sample Time (s),Test Returns Min,Exploration Returns Max,Exploration Rewards Mean,QF Loss
-0.919954,6.0,1.0,0.00016565,0.492862,0.998192,-0.000164641,0.223634,-0.206073,-0.000279377,0.00094019,-0.667013,-0.0923864,0.000172874,0.0,3379.2920665526763,26.8648648649,6.0,5.0,0,-0.997421,0.0292828,-0.000634698,3370.9502261811867,10.0,-0.00263918,0.602195,0.00340641,1000,0.0,17.5347718828,-0.000942427,-0.00170218,0.000799819,0.000538193,0.493888,1.0,3386.84978086967,0.0717556,0.00156763,185,6.0,185,1.0,0.0,5.0,-0.00157136,0.0007512,0.00170543,-0.000489704,8730,0,-0.262605,8.341840371489525,6.0,125.0,5.0,25.0157
-1.03195,16.3548387097,1.0,0.123128,0.0348104,0.996561,29.5795,0.39107,-0.682437,0.0923569,0.0192737,-0.570818,-0.0621966,0.0430115,0.0,3881.2687710775062,29.0935672515,16.3548387097,5.0,1,-0.998214,0.656365,34.2274,3864.52118796017,10.0,23.6294,0.659461,-0.000908888,2000,4.17788638565,16.460923589,-0.520925,28.8778,1.4136,1.4612,0.0419113,1.0,7267.673036119901,0.273693,35.0874,171,30.0,356,1.0,0.0,5.0,24.9221,-0.0923471,0.0684172,-0.190874,18730,7.563366875983775,0.329404,9.18421624135226,10.0,95.0,5.0,136.511
-2.39607,50.25,1.0,0.382076,0.107493,0.998729,30.622,0.586717,-0.671309,0.834602,0.0688422,-0.527243,0.0132509,0.11417,0.0,3879.0162142124027,34.1496598639,50.25,5.0,2,-0.998883,0.788581,35.5372,3862.0120616406202,15.0,23.8276,0.674857,0.00802137,3000,10.6998831769,41.2614616097,-0.805691,29.8862,1.84103,1.92532,-0.0881408,1.0,11146.746123538353,0.666322,36.4988,147,74.0,503,1.0,0.0,5.0,25.3491,-0.245177,0.176388,-0.0161123,28730,7.1276977164670825,0.876834,9.876454855315387,36.0,330.0,5.0,154.76
