Q Predictions Max,Test Returns Mean,Exploration Rewards Max,Epoch Time (s),Policy mu Min,Log Pis Min,Number of rollouts total,Q Predictions Mean,V Predictions Std,Test Rewards Std,Exploration Returns Min,Epoch,Q Predictions Min,Log Pis Std,Test Actions Std,Train Time (s),Test Returns Min,Exploration Returns Mean,VF Loss,Policy log std Std,V Predictions Max,Exploration Returns Max,Test Returns Std,Test Actions Mean,AverageReturn,Number of train steps total,Test Returns Max,V Predictions Mean,Policy log std Max,Q Predictions Std,Exploration Returns Std,Policy mu Mean,Exploration Rewards Std,Test Actions Max,Num Paths,Policy Loss,Policy mu Std,Exploration Rewards Mean,Policy mu Max,Policy log std Min,Number of env steps total,Exploration Actions Mean,Log Pis Max,Exploration Actions Min,(Previous) Eval Time (s),Total Train Time (s),Exploration Actions Max,Test Rewards Mean,Policy log std Mean,Test Rewards Max,Sample Time (s),Test Actions Min,Exploration Actions Std,Test Rewards Min,V Predictions Min,QF Loss,Exploration Rewards Min,Log Pis Mean
102.658,6.0,20.0,10.947212094441056,-0.0241685,-1.56577,2222,98.4281,0.694794,0.0,60.0,10,96.7187,0.133644,0.00288946,9.499478306621313,6.0,104.712041885,0.0508481,0.00555983,103.195,360.0,0.0,0.140794,6.0,10873,6.0,99.0876,-0.100574,0.723913,53.1006730469,-0.00238854,0.0,0.145224,191,0.0593097,0.0149002,20.0,0.0299288,-0.124704,11000,0.00630691,-0.454305,-0.997764,0.9249420091509819,109.26415932551026,0.995829,1.0,-0.114483,1.0,0.5227917786687613,0.137333,0.594552,1.0,97.4999,1724.38,20.0,-0.693242
102.159,15.1343283582,20.0,10.94230129942298,0.134699,-1.03198,2410,98.7315,1.28257,0.0,60.0,11,95.867,0.187625,0.00350276,9.478632660582662,13.0,106.489361702,0.250592,0.00211318,103.409,500.0,1.38106083375,0.0170446,15.1343283582,11873,17.0,99.7557,-0.130074,1.17365,60.4452881997,0.143181,0.0,0.0227924,188,-0.198164,0.00553521,20.0,0.165131,-0.144502,12000,0.0834539,-0.270418,-0.99047,0.91754134837538,120.21957875508815,0.996399,1.0,-0.132596,1.0,0.5461272904649377,0.0111763,0.583485,1.0,96.504,1172.17,20.0,-0.658946
99.9543,6.0,20.0,10.447196836583316,-0.00218138,-1.32876,2586,98.098,0.843176,0.0,60.0,12,95.3953,0.106405,0.0130344,9.000764368101954,6.0,113.636363636,0.167059,0.00453436,100.207,420.0,0.0,-0.12765,6.0,12873,6.0,98.4263,-0.129005,0.912079,73.7961229916,0.0143501,0.0,-0.11436,176,0.256271,0.0064175,20.0,0.0284932,-0.149207,13000,-0.0682917,-0.504623,-0.992633,0.9308236474171281,130.75002770032734,0.981253,1.0,-0.133914,1.0,0.5156088210642338,-0.150489,0.577037,1.0,95.7944,1306.47,20.0,-0.680032
98.605,6.38853503185,20.0,10.288105048239231,-0.16103,-1.22241,2767,96.6043,0.941062,0.0,60.0,13,93.7349,0.189287,0.00469883,8.76512212306261,6.0,110.386740331,0.922527,0.00492782,98.6021,460.0,0.487417234897,0.107991,6.38853503185,13873,7.0,96.3617,-0.128257,0.916773,60.8808694597,-0.133992,0.0,0.114722,181,0.686741,0.0131804,20.0,-0.112246,-0.152599,14000,0.0419198,-0.267663,-0.998056,1.0145502490922809,140.97119055502117,0.993964,1.0,-0.134277,1.0,0.5084326760843396,0.102206,0.596263,1.0,93.3512,1358.91,20.0,-0.69254
101.191,5.0,20.0,10.788630514405668,0.101301,-0.99166,2961,99.4288,0.955027,0.0,40.0,14,94.6755,0.143644,0.0123489,9.285329029895365,5.0,103.195876289,0.139783,0.00243671,101.605,380.0,0.0,-0.210074,5.0,14873,5.0,99.8059,-0.126487,0.907768,55.9094701189,0.113954,0.0,-0.198052,194,0.238518,0.00451314,20.0,0.125838,-0.135577,15000,0.0654547,-0.317723,-0.99306,0.9479943821206689,151.7932227756828,0.991747,1.0,-0.130202,1.0,0.5553071023896337,-0.229868,0.588499,1.0,95.0159,1588.67,20.0,-0.68884
102.077,4.0,20.0,10.753865871578455,-0.247869,-1.64902,3163,98.8923,1.09263,0.0,40.0,15,95.0107,0.270465,0.00745292,9.24691409431398,4.0,98.9108910891,0.254302,0.0037508,102.686,440.0,0.0,-0.284175,4.0,15873,4.0,100.036,-0.137381,1.37081,47.8529304295,-0.215088,0.0,-0.276043,202,-0.295409,0.0158748,20.0,-0.189184,-0.151931,16000,-0.0555136,-0.134297,-0.993539,0.9814420724287629,162.5827192151919,0.996013,1.0,-0.144629,1.0,0.5255097048357129,-0.29719,0.604424,1.0,97.3001,1466.97,20.0,-0.655385
104.981,14.1690140845,20.0,11.060923364013433,-0.346144,-2.02061,3355,99.5158,2.13309,0.0,60.0,16,93.9151,0.342365,0.00103306,9.505905316211283,13.0,103.854166667,0.09285,0.00313067,104.855,360.0,0.978442503265,-0.0145365,14.1690140845,16873,16.0,100.474,-0.151374,2.41746,52.991150827,-0.295396,0.0,-0.0138647,192,-0.133067,0.0164918,20.0,-0.267679,-0.16628,17000,-0.0256588,-0.0012815,-0.998642,1.0171158127486706,173.57994710374624,0.985497,1.0,-0.155428,1.0,0.5379022350534797,-0.0189616,0.597444,1.0,95.897,2138.61,20.0,-0.639104
101.354,4.95544554455,20.0,11.006422418169677,-0.0555416,-0.933915,3531,98.6455,1.22808,0.0,60.0,17,95.0144,0.095179,0.0080302,9.524915136396885,4.0,113.409090909,0.0809474,0.00271571,102.228,380.0,0.206323425586,-0.232837,4.95544554455,17873,5.0,99.3344,-0.129118,1.30303,64.6474066772,-0.0209095,0.0,-0.220332,176,0.0257394,0.00845583,20.0,-0.0133635,-0.141955,18000,0.0108864,-0.487009,-0.989471,0.953758979216218,184.6427633864805,0.999481,1.0,-0.133199,1.0,0.5277483025565743,-0.24252,0.595268,1.0,95.6875,1339.31,20.0,-0.67654
102.845,3.0,20.0,10.843579814769328,-0.313939,-1.14658,3713,99.7162,1.27546,0.0,60.0,18,96.2916,0.25549,0.07029,9.304443128407001,3.0,110.32967033,0.158034,0.00640369,103.211,400.0,0.0,-0.609184,3.0,18873,3.0,100.702,-0.152766,1.49774,65.4897114552,-0.241238,0.0,-0.538734,182,-0.154758,0.0135988,20.0,-0.222878,-0.180278,19000,0.118023,-0.13888,-0.997704,1.010541751049459,195.4913379950449,0.989184,1.0,-0.159744,1.0,0.5285949353128672,-0.708112,0.598527,1.0,96.8137,1800.83,20.0,-0.664306
103.542,17.0677966102,20.0,10.489588097669184,-1.22927,-2.27481,3897,98.9838,1.26857,0.0,40.0,19,95.3229,0.733155,0.00130806,8.955287313088775,14.0,107.717391304,0.291195,0.0270997,104.127,380.0,1.90329247981,-0.00941286,17.0677966102,19873,21.0,100.693,-0.21166,1.85357,59.5928807549,-0.695005,0.0,-0.00811731,184,-0.21297,0.133837,20.0,-0.592689,-0.348986,20000,-0.109281,1.51479,-0.99196,1.0157848643139005,205.9206312512979,0.993848,1.0,-0.232225,1.0,0.5185159202665091,-0.0121965,0.587214,1.0,97.9731,1776.9,20.0,-0.295639
