Log Pis Min,Test Returns Mean,Test Rewards Min,Policy mu Std,VF Loss,Exploration Actions Max,V Predictions Mean,Log Pis Std,Test Actions Min,Policy mu Max,Policy log std Mean,Log Pis Mean,Test Actions Mean,Policy log std Std,Test Rewards Std,Epoch Time (s),Exploration Returns Mean,AverageReturn,Exploration Rewards Max,Epoch,Exploration Actions Min,Test Actions Max,Q Predictions Max,Train Time (s),Exploration Returns Min,Q Predictions Min,Exploration Actions Std,Exploration Actions Mean,Number of env steps total,Test Returns Std,Exploration Returns Std,Policy mu Min,Q Predictions Mean,V Predictions Std,Q Predictions Std,Policy Loss,Test Rewards Max,Total Train Time (s),Test Actions Std,V Predictions Max,Num Paths,Test Returns Max,Number of rollouts total,Test Rewards Mean,Exploration Rewards Std,Exploration Rewards Min,V Predictions Min,Policy log std Min,Policy log std Max,Policy mu Mean,Number of train steps total,(Previous) Eval Time (s),Log Pis Max,Sample Time (s),Test Returns Min,Exploration Returns Max,Exploration Rewards Mean,QF Loss
-0.920036,6.0,1.0,0.000160017,0.492776,0.993674,-0.000103367,0.223578,-0.135728,-0.000271753,0.000930211,-0.667038,-0.133667,0.00017405,0.0,1362.3428300712258,28.3806818182,6.0,5.0,0,-0.997381,-0.132376,-0.000661735,1353.9468086184934,15.0,-0.00264005,0.596691,0.00461168,1000,0.0,15.8227925213,-0.000940569,-0.00172496,0.000768439,0.000532801,0.49385,1.0,1369.3481189934537,0.00106016,0.00156148,176,6.0,176,1.0,0.0,5.0,-0.00154304,0.000742171,0.0016956,-0.000497139,3492,0,-0.263081,8.396021452732384,6.0,130.0,5.0,25.0165
-1.06237,14.5797101449,1.0,0.00416664,0.0150434,0.991052,30.4914,0.19806,-0.0144271,-0.132157,-0.140833,-0.643916,-0.0123742,0.00206867,0.0,1565.9729006318375,27.027027027,14.5797101449,5.0,1,-0.998366,-0.00916197,31.2868,1549.5402550771832,15.0,28.5178,0.596034,0.0161622,2000,1.10867197095,14.5870851551,-0.158077,29.7175,0.479264,0.526115,-0.0401678,1.0,2934.7935060644522,0.00152359,31.698,185,17.0,361,1.0,0.0,5.0,29.4194,-0.147944,-0.134525,-0.138334,7492,7.010929709300399,-0.268323,9.421715845353901,13.0,100.0,5.0,117.427
-1.14114,6.88356164384,1.0,0.00379955,0.185659,0.98787,30.4585,0.0933157,-0.102697,-0.00290767,-0.133341,-0.690498,-0.0992295,0.00190374,0.0,1569.8001853628084,25.641025641,6.88356164384,5.0,2,-0.988481,-0.0973623,32.0927,1553.80125095509,15.0,25.8697,0.590174,0.00810583,3000,0.320749848602,11.9281764667,-0.0209535,29.3601,1.49207,1.42869,-0.275344,1.0,4506.992227560841,0.00179112,33.3251,195,7.0,556,1.0,0.0,5.0,26.8009,-0.140361,-0.129435,-0.0150131,11492,6.484402591362596,-0.503337,9.514531816355884,6.0,75.0,5.0,121.304
-1.03919,7.32846715328,1.0,0.00198936,0.0349545,0.991331,28.7576,0.142521,0.0803303,-0.0967371,-0.143214,-0.665258,0.0816599,0.00425755,0.0,1569.518071591854,27.0540540541,7.32846715328,5.0,3,-0.992095,0.0828136,30.3235,1551.3177642505616,15.0,25.6487,0.59289,-0.0173499,4000,0.46965570634,16.9369992332,-0.10561,28.1157,0.821943,0.952529,0.0370042,1.0,6074.5375181483105,0.000925789,30.5699,185,8.0,741,1.0,0.0,5.0,26.8388,-0.155579,-0.139154,-0.101409,15492,8.889628587290645,-0.361674,9.310678754001856,7.0,115.0,5.0,130.383
-1.01553,17.9107142857,1.0,0.00289761,0.0141319,0.992532,28.9193,0.122672,-0.00842456,0.0961531,-0.139558,-0.680224,-0.00673403,0.00159426,0.0,1565.4336037803441,29.3235294118,17.9107142857,5.0,4,-0.992612,-0.00644507,30.1876,1549.0272176060826,10.0,26.769,0.583401,-0.00223502,5000,2.26208489258,15.8573059581,0.0774929,28.281,0.695414,0.656556,0.0525764,1.0,7640.337694725953,0.000372025,31.0005,170,23.0,911,1.0,0.0,5.0,27.4344,-0.141498,-0.13696,0.0821419,19492,6.910682381130755,-0.396824,9.495703793130815,15.0,95.0,5.0,122.21
-2.17057,8.41176470588,1.0,0.00367954,0.0560477,0.993643,29.7485,0.167616,0.0592199,-0.00609863,-0.121093,-0.705964,0.0605818,0.00170369,0.0,1567.9422485074028,30.2424242424,8.41176470588,5.0,5,-0.988663,0.0653274,32.2678,1551.2717293594033,15.0,27.2093,0.588707,-0.0085503,6000,0.492152956785,17.4321721087,-0.0165811,29.1674,0.859254,0.873814,0.123122,1.0,9207.83760650549,0.00163826,32.7321,165,9.0,1076,1.0,0.0,5.0,27.67,-0.122928,-0.116608,-0.0105541,23492,7.285379308275878,-0.484707,9.385139839723706,8.0,105.0,5.0,158.189
-1.40073,9.22018348624,1.0,0.00817195,0.0114189,0.995657,30.297,0.129917,0.0470435,0.100336,-0.132682,-0.705607,0.0486849,0.00119466,0.0,1566.9258022820577,26.4473684211,9.22018348624,5.0,6,-0.991524,0.0498019,32.3256,1550.6092064436525,15.0,27.7166,0.601485,0.0281286,7000,0.414370267546,12.993312791,0.0585112,29.5884,0.584922,0.602257,0.00437391,1.0,10776.441448868252,0.000755014,32.9211,190,10.0,1266,1.0,0.0,5.0,28.4941,-0.136143,-0.131141,0.0664042,27492,6.86246052198112,-0.414298,9.454135316424072,9.0,90.0,5.0,185.642
-2.60714,7.10638297872,1.0,0.00153227,0.0998131,0.997164,30.3652,0.198014,0.0820924,0.0516413,-0.127959,-0.701299,0.0836879,0.00152771,0.0,1565.2000496946275,28.901734104,7.10638297872,5.0,7,-0.981359,0.0854137,31.1417,1546.9588311789557,15.0,27.9131,0.594774,0.013983,8000,0.308327164813,18.3481629516,0.0441697,29.5229,0.701748,0.771828,-0.0498437,1.0,12340.46267219074,0.00120028,31.9852,173,8.0,1439,1.0,0.0,5.0,28.648,-0.130533,-0.125322,0.0472279,31492,8.511189277283847,-0.441499,9.730029238387942,7.0,135.0,5.0,133.948
