Exploration Rewards Std,(Previous) Eval Time (s),Test Rewards Min,Train Time (s),Exploration Returns Mean,Number of train steps total,Q Predictions Min,Exploration Rewards Min,Number of rollouts total,V Predictions Max,Test Rewards Max,Epoch,Policy log std Mean,Test Returns Max,Log Pis Min,V Predictions Min,Test Returns Mean,Exploration Returns Std,Number of env steps total,Total Train Time (s),Policy Loss,Test Rewards Std,V Predictions Std,Policy mu Max,Policy mu Mean,V Predictions Mean,Log Pis Max,Test Actions Std,Test Returns Std,Policy log std Max,VF Loss,Log Pis Mean,Exploration Actions Min,Sample Time (s),Test Actions Max,AverageReturn,Test Rewards Mean,Q Predictions Max,Policy mu Min,Q Predictions Mean,QF Loss,Exploration Actions Mean,Test Returns Min,Policy log std Min,Q Predictions Std,Exploration Rewards Mean,Exploration Rewards Max,Epoch Time (s),Exploration Returns Min,Policy mu Std,Test Actions Mean,Test Actions Min,Exploration Returns Max,Exploration Actions Std,Num Paths,Policy log std Std,Log Pis Std,Exploration Actions Max
0.0,0,1.0,19.038192817009985,21.0315789474,873,-0.00420407,4.0,190,0.00446789,1.0,0,-0.00122733,9.0,-1.08021,0.000956573,8.5811965812,10.3592853153,1000,20.67261658143252,0.466348,0.0,0.0010605,-0.000453821,-0.0011246,0.00274276,-0.271132,0.00329044,0.493363066313,-0.00111045,0.463041,-0.651633,-0.995105,0.675629316829145,0.0608818,8.5811965812,1.0,-0.00144165,-0.00155288,-0.00247325,16.0375,0.00744493,8.0,-0.00143509,0.000651713,4.0,4.0,19.71382213383913,12.0,0.000317052,0.0558212,0.0501098,72.0,0.597019,190,7.48041e-05,0.212274,0.99543
0.0,0.966266380622983,1.0,16.244017683900893,22.0331491713,1873,17.8709,4.0,371,20.6959,1.0,1,-0.124954,10.0,-1.06544,18.8307,9.22935779817,11.442819917,2000,38.58456718549132,-0.161622,0.0,0.288521,0.0872881,0.060553,19.4688,-0.410101,0.00083473,0.420419788528,-0.105989,0.0867721,-0.669143,-0.994116,0.6374937035143375,-0.0471181,9.22935779817,1.0,19.7151,0.0491662,18.5262,40.3364,0.0256553,9.0,-0.169219,0.302017,4.0,4.0,17.847777768038213,12.0,0.00938901,-0.0484251,-0.0497026,88.0,0.603536,181,0.0159096,0.129602,0.993
0.0,1.0263546193018556,1.0,15.713884624652565,21.6864864865,2873,20.7263,4.0,556,23.9965,1.0,2,-0.152357,8.0,-3.47264,21.1336,7.7984496124,12.0220104934,3000,55.91984283737838,0.322323,0.0,0.563867,-0.0419212,-0.0463696,22.6234,-0.475677,0.00251192,0.401158109548,-0.146804,0.198139,-0.711656,-0.985466,0.6270677149295807,0.0761161,7.7984496124,1.0,23.5084,-0.0500615,22.2697,100.596,-0.0703214,7.0,-0.157364,0.554338,4.0,4.0,17.367306958884,8.0,0.00188761,0.0718946,0.0685983,84.0,0.567715,185,0.00285249,0.263235,0.988227
0.0,0.9943277519196272,1.0,16.85639926698059,21.5869565217,3873,22.0982,4.0,740,25.6961,1.0,3,-0.143913,20.0,-1.56385,23.3615,16.9333333333,11.7141239294,4000,74.36510985530913,-0.222224,0.0,0.441902,0.147002,0.0804036,24.4409,-0.358009,0.000616053,1.88738502225,-0.141721,0.133779,-0.676668,-0.991359,0.6360792070627213,-0.00645379,16.9333333333,1.0,24.387,0.0688272,23.4109,87.3964,0.0351111,14.0,-0.155046,0.403537,4.0,4.0,18.486806225962937,12.0,0.0121851,-0.00812149,-0.00882989,96.0,0.58736,184,0.00177854,0.151863,0.99879
0.0,0.9526981897652149,1.0,15.695573734119534,21.3333333333,4873,22.6787,4.0,929,24.5744,1.0,4,-0.13705,4.0,-1.26737,23.5156,4.0,11.0026451846,5000,91.64792033843696,-0.0875186,0.0,0.198267,0.00555161,-0.00818162,24.033,-0.517826,0.00485325,0.0,-0.134763,0.0344219,-0.685591,-0.98574,0.624888276681304,-0.296115,4.0,1.0,23.8075,-0.0116512,23.2071,68.9155,-0.00220641,4.0,-0.139313,0.203676,4.0,4.0,17.273160200566053,12.0,0.00278056,-0.304314,-0.310368,72.0,0.578032,189,0.00092088,0.0975244,0.99697
0.0,0.9624146539717913,1.0,15.748182990588248,21.8360655738,5873,22.4859,4.0,1112,25.0111,1.0,5,-0.183146,6.0,-2.01795,23.636,5.77011494253,12.0887162234,6000,109.17206088546664,-0.0655185,0.0,0.302765,-0.300745,-0.320152,24.3238,-0.00221992,0.00526951,0.420758740637,-0.176794,0.0228448,-0.631864,-0.996846,0.6647867737337947,0.166716,5.77011494253,1.0,24.6573,-0.338653,23.4598,105.55,-0.0198163,5.0,-0.19028,0.478347,4.0,4.0,17.375384418293834,12.0,0.0081791,0.155747,0.15079,84.0,0.579541,183,0.00217428,0.396684,0.993941
0.0,1.1115385154262185,1.0,16.03085390292108,21.5053763441,6873,22.0041,4.0,1298,24.9819,1.0,6,-0.162321,7.0,-1.89162,22.5801,6.97916666667,10.7988685747,7000,126.87282637879252,0.0793269,0.0,0.517375,0.225699,0.165094,23.808,-0.252252,0.00143153,0.142826137508,-0.155285,0.0345581,-0.663294,-0.989512,0.6437319768592715,-0.0933111,6.97916666667,1.0,24.3419,0.152032,23.1983,90.9303,0.0270266,6.0,-0.195788,0.477223,4.0,4.0,17.78612439520657,12.0,0.0164038,-0.0974992,-0.0993041,72.0,0.576621,186,0.00893586,0.221795,0.991372
0.0,1.0266049299389124,1.0,16.103045073337853,21.5053763441,7873,21.3194,4.0,1484,24.992,1.0,7,-0.120137,7.0,-1.04506,22.0506,6.50649350649,12.365946699,8000,144.60006507486105,0.0237666,0.0,0.635402,-0.0728462,-0.0960563,23.5349,-0.33116,0.000724444,0.499957832595,-0.11855,0.0140387,-0.665976,-0.984907,0.6327916709706187,0.110178,6.50649350649,1.0,24.5188,-0.103792,22.8745,96.321,-0.00923072,6.0,-0.121967,0.705578,4.0,4.0,17.762441674247384,8.0,0.00442389,0.108099,0.1075,84.0,0.591202,186,0.000906302,0.162595,0.992744
0.0,0.9925806792452931,1.0,15.395205571316183,22.6818181818,8873,23.3952,4.0,1660,25.5105,1.0,8,-0.139078,13.0,-1.30777,24.191,12.1084337349,13.8593137822,9000,161.65081984456629,-0.0463253,0.0,0.265438,0.136904,0.112871,24.7878,-0.337762,0.000109507,0.776337527402,-0.134392,0.0164143,-0.664972,-0.989189,0.631761628203094,0.0246535,12.1084337349,1.0,24.8557,0.107786,24.0226,97.8647,0.00827735,11.0,-0.153583,0.27769,4.0,4.0,17.01954787876457,12.0,0.00593412,0.0244419,0.0242671,100.0,0.576908,176,0.0039384,0.166638,0.9958
0.0,1.022970880381763,1.0,17.656421943567693,24.8695652174,9873,22.4404,4.0,1821,24.7108,1.0,9,-0.128598,6.0,-2.0954,22.9494,5.21354166667,13.2379702497,10000,181.02493991609663,0.0715267,0.0,0.336766,0.0255563,0.0244002,23.8848,-0.48282,0.00706565,0.409806812125,-0.122541,0.0327288,-0.690063,-0.990844,0.6295623276382685,-0.164053,5.21354166667,1.0,24.0259,0.0233049,23.2586,85.2037,-0.0118763,5.0,-0.132073,0.299125,4.0,4.0,19.308955151587725,12.0,0.000357086,-0.170518,-0.189685,68.0,0.57934,161,0.0026743,0.163627,0.994
0.0,1.0883086398243904,1.0,16.736728873103857,21.6,10873,23.2659,4.0,2006,25.1176,1.0,10,-0.157059,10.0,-1.18734,24.188,8.97321428571,11.2308455555,11000,199.4443685375154,0.0680872,0.0,0.162917,-0.160441,-0.180283,24.6658,-0.211067,0.00121429,0.248560909055,-0.151534,0.0214605,-0.630506,-0.992934,0.6235889252275229,0.052368,8.97321428571,1.0,24.8085,-0.259508,24.0979,78.97,0.0136609,8.0,-0.176753,0.318102,4.0,4.0,18.44862643815577,12.0,0.0197246,0.0512918,0.0484377,88.0,0.582798,185,0.00450998,0.22272,0.992445
0.0,1.0594021854922175,1.0,17.688244096003473,22.3910614525,11873,23.0269,4.0,2185,25.7395,1.0,11,-0.122699,24.0,-1.36692,23.8281,18.7222222222,12.1702599547,12000,218.88254511822015,0.0572906,0.0,0.405594,0.0608697,0.0442652,24.6813,-0.418639,0.00100012,2.25599338936,-0.114883,0.026135,-0.679405,-0.987645,0.6201861128211021,0.00793914,18.7222222222,1.0,25.1204,0.0254578,24.0613,113.452,0.007431,15.0,-0.125684,0.465751,4.0,4.0,19.367832394316792,12.0,0.00933258,0.00687339,0.00380832,84.0,0.586911,179,0.00275528,0.130187,0.99281
