Log Pis Min,Test Returns Mean,Test Rewards Min,Policy mu Std,VF Loss,Exploration Actions Max,V Predictions Mean,Log Pis Std,Test Actions Min,Policy mu Max,Policy log std Mean,Log Pis Mean,Test Actions Mean,Policy log std Std,Test Rewards Std,Epoch Time (s),Exploration Returns Mean,AverageReturn,Exploration Rewards Max,Epoch,Exploration Actions Min,Test Actions Max,Q Predictions Max,Train Time (s),Exploration Returns Min,Q Predictions Min,Exploration Actions Std,Exploration Actions Mean,Number of env steps total,Test Returns Std,Exploration Returns Std,Policy mu Min,Q Predictions Mean,V Predictions Std,Q Predictions Std,Policy Loss,Test Rewards Max,Total Train Time (s),Test Actions Std,V Predictions Max,Num Paths,Test Returns Max,Number of rollouts total,Test Rewards Mean,Exploration Rewards Std,Exploration Rewards Min,V Predictions Min,Policy log std Min,Policy log std Max,Policy mu Mean,Number of train steps total,(Previous) Eval Time (s),Log Pis Max,Sample Time (s),Test Returns Min,Exploration Returns Max,Exploration Rewards Mean,QF Loss
-0.919879,56.4444444444,1.0,0.000165362,0.492868,0.991182,-0.000173534,0.223629,-0.406763,-0.000239826,0.000943605,-0.667005,-0.0276044,0.000148258,0.0,3388.9879417084157,5.68181818182,56.4444444444,0.5,0,-0.992301,0.392798,-0.000637831,3380.8696957416832,1.5,-0.00260584,0.604654,0.00598433,1000,1.77081971672,5.95875111714,-0.000892654,-0.00170119,0.000809918,0.000543965,0.493885,1.0,3396.2589906854555,0.235479,0.00129174,88,58.0,88,1.0,0.0,0.5,-0.00160901,0.000762399,0.00158704,-0.000488834,8730,0,-0.263137,8.118245966732502,50.0,28.5,0.5,0.251574
-3.17437,42.4583333333,1.0,0.567478,7.79648,0.99114,11.6604,0.701064,-0.862065,1.04302,-0.276744,-0.382866,-0.0732661,0.13621,0.0,3887.2554791467264,9.78,42.4583333333,0.5,1,-0.986958,0.329837,13.783,3870.7803167896345,1.5,-0.180751,0.594324,-0.02621,2000,0.498260864296,9.948447115,-1.66729,11.2854,1.00648,3.05959,0.658839,1.0,7282.542763032019,0.146859,13.0036,50,43.0,138,1.0,0.0,0.5,6.54458,-0.776915,-0.110561,0.149349,18730,7.2800327790901065,2.03313,9.195129578001797,42.0,58.5,0.5,1.09663
-2.57608,66.1875,1.0,0.757941,3.59859,0.989727,22.1307,0.799742,-0.926208,1.77154,-1.13058,0.345507,-0.0472971,0.346697,0.0,3877.7558051822707,34.7083333333,66.1875,0.5,2,-0.986172,0.295415,47.8271,3862.198108700104,18.0,-2.51077,0.504076,0.0111408,3000,0.3903123749,18.9763650512,-1.75019,19.8087,7.95374,8.36474,0.256076,1.0,11161.564488288015,0.167693,54.7566,12,67.0,150,1.0,0.0,0.5,0.136635,-1.71396,0.0383253,0.15558,28730,6.307948990724981,2.35063,9.249747491441667,66.0,78.0,0.5,2.98343
