Log Pis Mean,Test Actions Mean,Exploration Returns Max,V Predictions Mean,Test Actions Std,VF Loss,Policy log std Mean,QF Loss,Q Predictions Min,Policy mu Std,Policy mu Min,Test Actions Min,V Predictions Min,Test Rewards Mean,Q Predictions Mean,Test Returns Max,Exploration Rewards Mean,Number of env steps total,Q Predictions Max,Total Train Time (s),Policy log std Std,Number of train steps total,Exploration Rewards Min,Test Returns Std,Policy log std Max,Test Rewards Max,Train Time (s),Q Predictions Std,Exploration Returns Min,Test Returns Min,V Predictions Std,AverageReturn,Policy log std Min,Policy mu Mean,Exploration Rewards Std,Exploration Actions Max,Log Pis Std,Exploration Rewards Max,Test Rewards Std,Exploration Actions Std,Sample Time (s),Test Rewards Min,(Previous) Eval Time (s),V Predictions Max,Exploration Returns Mean,Exploration Returns Std,Log Pis Max,Epoch,Policy mu Max,Epoch Time (s),Test Actions Max,Log Pis Min,Test Returns Mean,Policy Loss,Exploration Actions Mean,Number of rollouts total,Exploration Actions Min,Num Paths
-0.550647,0.0221757,1400.0,379.099,0.00245679,1.15219,-0.158131,27531.0,358.794,0.0196984,-0.509291,0.0106233,363.465,1.0,376.921,14.0,100.0,11000,397.041,137.1026731962338,0.00629188,10873,100.0,0.629866091373,-0.146222,1.0,10.594864267855883,8.91568,200.0,12.0,7.89847,12.7848101266,-0.168914,-0.444086,0.0,0.998386,0.532372,100.0,0.0,0.73925,0.5646129231899977,1.0,0.9033418297767639,396.681,355.357142857,151.327038063,0.271753,10,-0.413566,12.062819020822644,0.0250492,-2.28281,12.7848101266,-0.773187,0.0344325,2876,-0.996065,280
-0.711203,-0.00391724,1800.0,381.288,0.00461258,1.89163,-0.108927,27849.8,358.596,0.0390083,-0.109243,-0.0172526,361.815,1.0,380.608,31.0,100.0,12000,405.172,149.71393165457994,0.0112418,11873,100.0,3.61238751996,-0.0931568,1.0,11.217167412862182,10.4081,200.0,16.0,9.26718,21.5957446809,-0.131126,-0.0121584,0.0,0.994982,0.261877,100.0,0.0,0.593316,0.5333422226831317,1.0,0.8952105566859245,403.96,506.565656566,282.319618343,-0.352867,11,0.0291366,12.645720192231238,0.0089186,-3.34907,21.5957446809,0.0313165,0.141455,3074,-0.98913,198
-0.677958,0.594107,1500.0,379.843,0.0510859,1.56033,-0.128403,28220.1,359.572,0.0361979,-0.127496,0.535707,362.04,1.0,378.062,3.0,100.0,13000,397.344,161.93208839930594,0.0059693,12873,100.0,0.0,-0.116754,1.0,10.739874339662492,9.31174,200.0,3.0,8.75673,3.0,-0.137105,-0.0243379,0.0,0.993421,0.115577,100.0,0.0,0.624315,0.5417524771764874,1.0,0.8609566586092114,397.54,433.333333333,214.348235228,-0.336137,12,0.0225372,12.142583475448191,0.662303,-1.25555,3.0,-0.74275,-0.163111,3305,-0.993605,231
-0.295191,0.372115,2000.0,378.171,0.00507734,0.85109,-0.239429,28731.8,361.534,0.106236,0.572042,0.36611,361.437,1.0,378.459,4.0,100.0,14000,399.755,174.57770614419132,0.0214567,13873,100.0,0.0,-0.215911,1.0,11.1833650842309,6.95726,200.0,4.0,7.13713,4.0,-0.290848,0.68944,0.0,0.995468,0.697366,100.0,0.0,0.584606,0.5467741508036852,1.0,0.9370073890313506,399.118,459.174311927,259.733909146,0.990724,13,0.942847,12.667146624065936,0.380273,-2.70373,4.0,0.610485,0.249395,3523,-0.990286,218
-0.607992,-0.614706,2000.0,387.647,0.0167736,1.24162,-0.163369,25396.3,348.67,0.0160622,0.379012,-0.637311,348.448,1.0,387.825,3.0,100.0,15000,408.314,186.77475792821497,0.00524494,14873,100.0,0.0,-0.159348,1.0,10.710251715034246,9.17511,200.0,3.0,9.41166,3.0,-0.185012,0.397994,0.0,0.995921,0.478623,100.0,0.0,0.634229,0.5489548211917281,1.0,0.915458700619638,408.41,438.596491228,223.414009491,0.257214,14,0.472534,12.174665236845613,-0.594096,-2.02064,3.0,0.621593,-0.124044,3751,-0.997575,228
-0.320662,0.750833,1400.0,390.048,0.0348355,0.989429,-0.252217,27952.7,367.483,0.0659694,-1.0021,0.715022,369.165,1.0,388.186,3.0,100.0,16000,405.04,198.58912634849548,0.00991185,15873,100.0,0.0,-0.240263,1.0,10.328152673318982,7.27507,300.0,3.0,5.85128,3.0,-0.292067,-0.751049,0.0,0.995516,0.811134,100.0,0.0,0.63165,0.542883382178843,1.0,0.9382978351786733,405.816,432.034632035,214.848620048,1.13592,15,-0.673036,11.809333890676498,0.799197,-3.50852,3.0,-0.736816,-0.105414,3982,-0.995147,231
0.00042971,-0.144175,1400.0,387.32,0.0307709,1.0781,-0.34375,24798.4,366.513,0.071081,0.856092,-0.186568,367.897,1.0,387.221,6.0,100.0,17000,402.462,211.63558309804648,0.0206197,16873,100.0,0.461198451478,-0.320415,1.0,11.585585191845894,6.17663,200.0,5.0,6.49725,5.30687830688,-0.425964,0.937322,0.0,0.996836,0.894101,100.0,0.0,0.630351,0.5422059493139386,1.0,0.9436593325808644,404.257,420.588235294,200.095750683,1.29749,16,1.21994,13.071450473740697,-0.0980226,-3.01568,5.30687830688,0.37647,0.187292,4220,-0.994758,238
-0.655296,0.271735,1500.0,394.323,0.0627266,2.18926,-0.108293,26722.4,369.905,0.0715115,-0.192137,0.174614,369.375,1.0,395.003,5.0,100.0,18000,423.05,224.14736884459853,0.0114971,17873,100.0,0.0,-0.0772976,1.0,11.01075519155711,8.97754,200.0,5.0,8.46451,5.0,-0.120154,-0.120817,0.0,0.992753,0.202424,100.0,0.0,0.669822,0.5456733144819736,1.0,0.9188157040625811,422.671,383.846153846,163.049707453,-0.168688,17,0.068104,12.475244210101664,0.360846,-0.936585,5.0,0.891828,-0.113883,4480,-0.99907,260
-0.607242,0.121865,1500.0,386.835,0.0405823,2.88626,-0.101605,31696.7,362.237,0.131628,0.0859694,0.0685951,366.4,1.0,385.437,7.0,100.0,19000,408.112,237.6568186469376,0.0065902,18873,100.0,0.0,-0.0916294,1.0,12.031352791003883,7.64423,200.0,7.0,7.68422,7.0,-0.116435,0.219793,0.0,0.995973,0.337699,100.0,0.0,0.610794,0.5470212763175368,1.0,0.9556744704023004,408.077,477.990430622,253.386215235,0.426796,18,0.496221,13.53404853772372,0.196815,-1.28421,7.0,-0.691379,-0.174032,4689,-0.995088,209
-0.6832,-0.0483269,1400.0,396.24,0.00278396,1.95594,-0.114926,25335.1,377.591,0.0688106,0.036806,-0.055044,375.504,1.0,396.249,10.0,100.0,20000,423.257,250.28388218581676,0.00615642,19873,100.0,0.343174292512,-0.0982241,1.0,11.144869488663971,7.10228,200.0,9.0,7.09239,9.13636363636,-0.122659,0.102257,0.0,0.995196,0.200568,100.0,0.0,0.560578,0.5411445340141654,1.0,0.9315473008900881,420.824,444.0,201.0461528,0.00239706,19,0.277943,12.617561323568225,-0.044397,-1.53378,9.13636363636,0.406961,0.276287,4914,-0.981007,225
