Exploration Rewards Mean,Exploration Returns Min,Test Returns Std,Test Rewards Min,Log Pis Mean,Test Actions Mean,Exploration Rewards Std,Exploration Returns Mean,Sample Time (s),Test Rewards Std,Exploration Actions Max,V Predictions Mean,Epoch,Q Predictions Mean,Total Train Time (s),Log Pis Max,AverageReturn,Exploration Returns Std,V Predictions Std,Policy log std Max,Policy log std Mean,Policy log std Std,Policy mu Mean,Policy Loss,Policy mu Min,Exploration Rewards Min,Exploration Actions Min,Policy log std Min,Number of train steps total,Number of rollouts total,Exploration Actions Std,Log Pis Min,Epoch Time (s),Test Actions Std,QF Loss,Test Returns Mean,(Previous) Eval Time (s),Test Actions Max,Policy mu Std,Q Predictions Max,Exploration Actions Mean,V Predictions Min,Q Predictions Min,V Predictions Max,Q Predictions Std,Train Time (s),Exploration Rewards Max,Number of env steps total,Test Returns Min,Num Paths,Test Rewards Max,Policy mu Max,Log Pis Std,VF Loss,Test Actions Min,Exploration Returns Max,Test Rewards Mean,Test Returns Max
1.0,3.0,0.0,1.0,-0.623102,-0.0904217,0.0,5.81871345029,0.7606117222458124,0.0,0.993378,0.000126431,0,-0.00214834,154.80566250625998,-0.260844,7.0,3.43305237903,0.000773495,0.000869593,0.000708887,9.22477e-05,0.00146016,0.435662,0.00103012,1.0,-0.99491,0.000541296,3492,171,0.596747,-0.919603,153.6921154987067,0.000336384,1.00447,7.0,0,-0.0898662,0.000328781,-0.00118663,0.0132739,-0.00199588,-0.00277568,0.0011708,0.000459947,152.9315037764609,1.0,1000,7.0,171,1.0,0.00223527,0.220916,0.43427,-0.0909686,22.0,1.0,7.0
1.0,3.0,0.730283492082,1.0,-0.660877,0.0236045,0.0,5.46195652174,0.7677894085645676,0.0,0.987692,9.42679,1,8.89193,326.85541739314795,-0.374394,12.1445783133,2.83776329525,0.408246,-0.130667,-0.13897,0.00253992,-0.090574,0.10005,-0.092401,1.0,-0.989388,-0.143836,7492,355,0.583471,-0.919632,172.12451043818146,3.88236e-05,14.0124,12.1445783133,1.1175335310399532,0.0237264,0.000895471,9.89418,-0.0164811,8.49885,7.84971,10.4617,0.413892,170.23918749857694,1.0,2000,11.0,184,1.0,-0.0868997,0.13604,0.027152,0.0234287,15.0,1.0,13.0
