Log Pis Min,Test Returns Mean,Test Rewards Min,Policy mu Std,VF Loss,Exploration Actions Max,V Predictions Mean,Log Pis Std,Test Actions Min,Policy mu Max,Policy log std Mean,Log Pis Mean,Test Actions Mean,Policy log std Std,Test Rewards Std,Epoch Time (s),Exploration Returns Mean,AverageReturn,Exploration Rewards Max,Epoch,Exploration Actions Min,Test Actions Max,Q Predictions Max,Train Time (s),Exploration Returns Min,Q Predictions Min,Exploration Actions Std,Exploration Actions Mean,Number of env steps total,Test Returns Std,Exploration Returns Std,Policy mu Min,Q Predictions Mean,V Predictions Std,Q Predictions Std,Policy Loss,Test Rewards Max,Total Train Time (s),Test Actions Std,V Predictions Max,Num Paths,Test Returns Max,Number of rollouts total,Test Rewards Mean,Exploration Rewards Std,Exploration Rewards Min,V Predictions Min,Policy log std Min,Policy log std Max,Policy mu Mean,Number of train steps total,(Previous) Eval Time (s),Log Pis Max,Sample Time (s),Test Returns Min,Exploration Returns Max,Exploration Rewards Mean,QF Loss
-2.57226,999.0,1.0,0.598701,14.5749,0.999456,23.4807,0.743278,-0.0564787,1.82087,-0.296753,-0.323237,-2.36159e-05,0.253156,0.0,403.2290743114427,21.8043478261,999.0,1.0,10,-0.99288,0.055551,26.1445,386.8073039287701,3.0,0.969724,0.668803,0.00107957,11000,0.0,17.6728969172,-1.78548,22.7757,0.833089,4.86907,1.86262,1.0,4394.5007467838,0.0137083,25.3294,46,999.0,685,1.0,0.0,1.0,20.5577,-1.30381,-0.10004,-0.160846,10873,7.336455296725035,2.57369,9.085315085947514,999.0,78.0,1.0,4.47454
-4.04848,80.0,1.0,0.80945,23.5637,0.999579,23.3113,1.09887,-0.0809946,2.8877,-0.32053,-0.320491,0.0317806,0.25829,0.0,405.1756703676656,21.9777777778,80.0,1.0,11,-0.995709,0.939332,26.0901,383.2868291242048,3.0,-5.42851,0.650091,0.00554703,12000,0.554700196225,21.0116252361,-2.34314,21.877,0.965517,5.59296,3.05831,1.0,4795.375778426416,0.124966,27.6998,45,81.0,730,1.0,0.0,1.0,20.1957,-1.24931,-0.117142,-0.00238444,11873,12.807324822992086,3.9384,9.081516420468688,79.0,94.0,1.0,10.5762
-1.93905,55.2105263158,1.0,0.746067,30.5032,0.99653,23.5375,1.14831,-0.929556,3.41834,-0.235893,-0.250735,-0.0400741,0.247661,0.0,406.15446128789335,19.4705882353,55.2105263158,1.0,12,-0.991368,0.0885874,25.7882,388.3336131265387,3.0,-2.81723,0.670926,0.00234251,13000,0.521026049295,16.4559458724,-2.19978,23.0338,0.740763,5.15228,5.09878,1.0,5202.272559306584,0.121863,25.7729,51,56.0,781,1.0,0.0,1.0,21.8109,-1.52285,-0.0820775,-0.074529,12873,8.505037969909608,5.99321,9.315810191445053,54.0,71.0,1.0,1.22794
-1.26261,44.1739130435,1.0,0.751783,44.5793,0.998531,23.5809,0.972353,-0.115955,3.23918,-0.269222,-0.276139,0.0647431,0.226156,0.0,406.57909286394715,19.8823529412,44.1739130435,1.0,13,-0.993024,0.992345,26.7647,387.65250828582793,3.0,-3.28781,0.646823,0.0272319,14000,0.379034690743,15.4077228647,-1.80874,22.9127,0.857957,6.51557,4.75337,1.0,5607.443754197098,0.162083,25.5758,51,45.0,832,1.0,0.0,1.0,19.4836,-1.03896,-0.0720885,0.0405974,13873,9.256675319746137,5.30554,9.669909258373082,44.0,58.0,1.0,2.59356
-1.38332,53.0,1.0,0.78649,18.3061,0.999278,24.2485,1.03274,-0.0393349,2.75281,-0.283502,-0.1421,0.0559362,0.265298,0.0,400.80764492508024,14.8095238095,53.0,1.0,14,-0.991013,0.979711,26.9514,383.5726058334112,3.0,-1.20614,0.661094,0.0122778,15000,1.0760551737,13.4870392139,-1.80632,23.6893,1.1148,4.79595,3.31649,1.0,6006.513949006796,0.155996,26.7024,63,55.0,895,1.0,0.0,1.0,20.9335,-1.19155,-0.0603449,-0.0272621,14873,7.848382640630007,4.54175,9.386656451039016,51.0,61.0,1.0,6.81376
-1.88994,37.8518518519,1.0,1.01334,64.1785,0.998721,24.3952,1.44341,-0.165514,4.07084,-0.434875,-0.0056149,0.0645984,0.406715,0.0,400.92245867755264,16.2121212121,37.8518518519,1.0,15,-0.991335,0.928338,26.7446,385.7999377734959,3.0,-3.51751,0.642745,0.0151995,16000,0.355246779505,15.3962954532,-2.08221,21.933,1.01129,7.71135,9.43861,1.0,6408.4773916313425,0.138399,26.6749,66,38.0,961,1.0,0.0,1.0,20.4376,-1.78991,-0.0849661,0.176185,15873,6.103556677699089,7.25366,9.018964226357639,37.0,78.0,1.0,2.73425
-1.65918,43.5217391304,1.0,0.572927,33.2389,0.996457,23.9639,0.844338,-0.0522855,2.20402,-0.329112,-0.348378,0.0617253,0.285004,0.0,403.16467186436057,15.421875,43.5217391304,1.0,16,-0.988559,0.981776,27.2155,386.8779127104208,3.0,-0.765217,0.6464,0.00541976,17000,0.650723023787,13.0669007988,-1.72617,23.2334,1.07882,5.43366,3.63361,1.0,6811.382875041105,0.133741,27.1172,64,44.0,1025,1.0,0.0,1.0,21.3434,-1.28521,-0.0975099,-0.122437,16873,7.150969405658543,3.50353,9.13578974828124,42.0,58.0,1.0,1.37679
-1.04279,40.28,1.0,0.791174,39.4499,0.998719,23.7109,1.07707,-0.123873,2.37204,-0.418113,-0.0636168,0.065293,0.374048,0.0,403.2601064629853,15.59375,40.28,1.0,17,-0.991007,0.963414,26.1665,387.254147795029,3.0,-3.48668,0.640852,0.00017729,18000,0.530659966457,12.6943869855,-1.90853,22.5774,0.822787,5.98545,5.15009,1.0,7216.38349670358,0.142259,26.1348,64,41.0,1089,1.0,0.0,1.0,21.9498,-1.30947,-0.0847877,-0.134631,17873,6.888614961877465,3.61626,9.117343706078827,39.0,56.0,1.0,4.67363
-2.41292,43.8260869565,1.0,0.643894,41.0626,0.997849,23.5618,0.842436,-0.963804,2.21153,-0.302703,-0.415623,-0.057441,0.309523,0.0,403.2415848551318,18.5185185185,43.8260869565,1.0,18,-0.99267,0.0173945,25.773,385.5446486948058,3.0,-1.89332,0.662315,-0.00394397,19000,1.12876130311,17.1817525307,-1.84638,22.2047,0.891544,6.20286,3.57387,1.0,7618.846186429262,0.0991882,25.6288,54,46.0,1143,1.0,0.0,1.0,19.8828,-1.29798,-0.0953269,-0.0240808,18873,8.631332632154226,2.85979,9.065603528171778,42.0,83.0,1.0,2.92765
-1.14478,42.75,1.0,0.781032,23.8028,0.998413,22.651,1.11597,-0.0580158,3.92515,-0.335174,-0.189598,0.0672647,0.29327,0.0,404.6520114140585,15.4696969697,42.75,1.0,19,-0.988119,0.989455,25.8271,387.62408237624913,3.0,-0.690836,0.651697,0.0108066,20000,1.08972473589,13.0409839945,-1.9899,22.6485,0.977754,4.20634,4.62507,1.0,8023.367820849642,0.145847,25.1123,66,45.0,1209,1.0,0.0,1.0,20.4242,-1.36977,-0.0624568,0.09034,19873,7.839078818447888,6.55266,9.188850219361484,41.0,57.0,1.0,2.83547
-3.73383,43.125,1.0,0.667299,25.2395,0.998236,22.6356,0.91824,-0.959123,2.2167,-0.297849,-0.335978,-0.0645,0.311645,0.0,403.0850050263107,18.4814814815,43.125,1.0,20,-0.983781,0.0301671,25.5025,386.24768589250743,3.0,-0.188486,0.638786,0.0112719,21000,1.94320396939,13.6920370759,-1.9496,21.9009,1.05433,5.18052,3.06421,1.0,8426.489839435555,0.128576,25.1031,54,46.0,1263,1.0,0.0,1.0,19.6718,-1.22275,-0.075673,-0.134413,20873,7.710447686724365,2.71854,9.126871447078884,40.0,50.0,1.0,1.96267
-3.81089,43.125,1.0,0.648551,27.8094,0.998464,22.6787,0.899443,-0.973763,2.2238,-0.270057,-0.372947,-0.0643955,0.258191,0.0,403.0517495786771,14.8059701493,43.125,1.0,21,-0.994397,0.0522159,25.2577,385.9012564839795,3.0,0.30361,0.662274,-0.00377816,22000,1.45236875483,11.9616786197,-1.8678,22.1515,0.931316,5.16686,2.99842,1.0,8830.174953737296,0.133929,25.1388,67,47.0,1330,1.0,0.0,1.0,19.8615,-1.09479,-0.0685122,-0.0444959,21873,7.74233759380877,3.19288,9.408155500888824,41.0,54.0,1.0,1.00562
