Log Pis Min,Test Returns Mean,Test Rewards Min,Policy mu Std,VF Loss,Exploration Actions Max,V Predictions Mean,Log Pis Std,Test Actions Min,Policy mu Max,Policy log std Mean,Log Pis Mean,Test Actions Mean,Policy log std Std,Test Rewards Std,Epoch Time (s),Exploration Returns Mean,AverageReturn,Exploration Rewards Max,Epoch,Exploration Actions Min,Test Actions Max,Q Predictions Max,Train Time (s),Exploration Returns Min,Q Predictions Min,Exploration Actions Std,Exploration Actions Mean,Number of env steps total,Test Returns Std,Exploration Returns Std,Policy mu Min,Q Predictions Mean,V Predictions Std,Q Predictions Std,Policy Loss,Test Rewards Max,Total Train Time (s),Test Actions Std,V Predictions Max,Num Paths,Test Returns Max,Number of rollouts total,Test Rewards Mean,Exploration Rewards Std,Exploration Rewards Min,V Predictions Min,Policy log std Min,Policy log std Max,Policy mu Mean,Number of train steps total,(Previous) Eval Time (s),Log Pis Max,Sample Time (s),Test Returns Min,Exploration Returns Max,Exploration Rewards Mean,QF Loss
-0.919956,36.7142857143,1.0,0.000165616,0.492768,0.998679,-9.99356e-05,0.223626,-0.576786,-0.000278876,0.000945067,-0.667027,-0.0214233,0.000180696,0.0,3383.7576344069093,6.80689655172,36.7142857143,1.0,0,-0.993527,0.311817,-0.000638595,3375.6406476823613,3.0,-0.00264519,0.613649,-0.00266847,1000,0.451753951453,6.19487725155,-0.000942527,-0.00171038,0.000795109,0.000537674,0.493848,1.0,3391.165899740532,0.290554,0.00155298,145,37.0,145,1.0,0.0,1.0,-0.00157594,0.000751303,0.00171799,-0.000504676,8730,0,-0.262597,8.116986724548042,36.0,52.0,1.0,1.00324
-2.16651,43.8260869565,1.0,0.445969,13.7509,0.987379,11.0334,0.541446,-0.710714,0.858604,-0.18503,-0.549579,0.0668513,0.0851028,0.0,3893.2334734303877,20.2653061224,43.8260869565,1.0,1,-0.992312,0.998116,14.5226,3876.515223442577,3.0,0.36374,0.475588,0.00242223,2000,0.379034690743,15.7968939213,-1.21406,10.1945,0.895713,3.69388,0.660963,1.0,7282.8802442047745,0.472521,13.3249,49,44.0,194,1.0,0.0,1.0,8.6819,-0.515075,-0.105361,0.162466,18730,7.413951742462814,1.07566,9.304298245348036,43.0,59.0,1.0,2.49556
-2.69345,38.2962962963,1.0,1.31822,41.9776,0.998522,105.641,1.29062,-0.999928,3.36881,-1.08886,1.16848,-0.0910439,0.522491,0.0,3893.2817927869037,42.125,38.2962962963,1.0,2,-0.999916,0.583883,209.907,3878.1088282065466,37.0,-0.14242,0.328988,0.0236834,3000,0.456623259479,7.090560039,-2.88615,92.9925,31.5499,40.3673,2.38479,1.0,11178.232658830471,0.235435,225.446,24,39.0,218,1.0,0.0,1.0,10.4676,-2.46808,-0.174683,-0.651958,28730,5.895153107121587,5.92261,9.277811473235488,38.0,75.0,1.0,305.787
