Policy mu Mean,Test Returns Mean,Exploration Actions Std,Test Rewards Max,Train Time (s),Number of train steps total,Test Rewards Std,Exploration Returns Mean,AverageReturn,Exploration Rewards Max,Exploration Rewards Mean,Policy log std Mean,Number of env steps total,Total Train Time (s),Log Pis Max,Policy mu Std,Exploration Actions Min,Epoch Time (s),Log Pis Min,Q Predictions Min,Number of rollouts total,VF Loss,Sample Time (s),V Predictions Mean,Exploration Returns Min,Policy mu Min,Exploration Actions Mean,Policy log std Min,Test Returns Min,Log Pis Mean,Test Returns Max,Q Predictions Max,Test Actions Std,Exploration Actions Max,Exploration Rewards Min,V Predictions Std,Exploration Returns Max,Q Predictions Mean,Policy Loss,QF Loss,Exploration Returns Std,Test Rewards Min,Test Rewards Mean,V Predictions Min,Log Pis Std,Test Actions Mean,Num Paths,Test Actions Max,Exploration Rewards Std,V Predictions Max,(Previous) Eval Time (s),Epoch,Test Returns Std,Policy mu Max,Policy log std Max,Policy log std Std,Test Actions Min,Q Predictions Std
-0.00925143,13.4266666667,0.599137,1.0,15.365930311381817,10873,0.0,5.46195652174,13.4266666667,1.0,1.0,-0.127033,11000,181.1368593685329,-0.504007,0.0011863,-0.998688,16.99200529139489,-1.3985,8.11516,1920,0.0278834,0.6172869633883238,9.05827,3.0,-0.0116863,-0.0052669,-0.128283,12.0,-0.690361,15.0,8.9465,7.3528e-05,0.992615,1.0,0.126804,19.0,8.49075,0.0960268,10.9088,2.95227776439,1.0,1.0,8.7067,0.114685,0.0186204,184,0.0187504,0.0,9.49628,1.0087880166247487,10,1.03503086374,-0.00743478,-0.125605,0.000510902,0.0184796,0.131065
0.0203894,10.53125,0.589923,1.0,16.27459302265197,11873,0.0,5.79069767442,10.53125,1.0,1.0,-0.119921,12000,199.0231861192733,-0.476601,0.00159724,-0.995494,17.916061860509217,-0.910935,8.39992,2092,0.0158128,0.6253228113055229,9.49203,3.0,0.0182987,0.00251695,-0.122839,10.0,-0.670938,12.0,9.14825,0.000463731,0.995138,1.0,0.126581,17.0,8.8057,0.00298344,11.4489,2.87780713945,1.0,1.0,9.03885,0.113314,-0.0327912,172,-0.032145,0.0,9.85785,1.0161460265517235,11,0.519477401658,0.025723,-0.118592,0.000783412,-0.0337739,0.14623
-0.0321536,18.9245283019,0.59433,1.0,16.130188323557377,12873,0.0,5.66101694915,18.9245283019,1.0,1.0,-0.136916,13000,216.9318144787103,-0.471252,0.00207652,-0.995333,17.7460874626413,-1.22333,8.14137,2269,0.0132886,0.6285688783973455,9.28393,3.0,-0.0373793,-0.00892693,-0.146035,15.0,-0.67562,25.0,9.16235,0.000270886,0.97678,1.0,0.155953,18.0,8.66118,0.0472274,8.06445,2.86776455486,1.0,1.0,8.7667,0.11106,-0.00595504,177,-0.00510844,0.0,9.77901,0.9873302606865764,12,2.4173044133,-0.0282446,-0.133878,0.00294488,-0.00621061,0.16079
-0.00608037,9.73786407767,0.596172,1.0,15.43791114911437,13873,0.0,5.41621621622,9.73786407767,1.0,1.0,-0.135922,14000,234.06679983250797,-0.52298,0.000710929,-0.990609,17.23725357465446,-0.954116,8.14891,2454,0.0177185,0.6499394932761788,9.12347,3.0,-0.00809581,-0.0293967,-0.141389,9.0,-0.678957,11.0,8.91907,0.000312819,0.9875,1.0,0.177021,24.0,8.53787,0.0710443,11.6538,3.39232149751,1.0,1.0,8.73943,0.0938356,-0.0402846,185,-0.0395874,0.0,9.51148,1.1494029322639108,13,0.461343859049,-0.00380852,-0.134488,0.0014228,-0.0407651,0.176238
-0.0406983,11.0,0.587904,1.0,16.981390800327063,14873,0.0,5.57541899441,11.0,1.0,1.0,-0.118576,15000,252.7484922427684,-0.438258,0.00122014,-0.99551,18.666707104071975,-0.90732,7.88206,2633,0.0100291,0.6379147442057729,8.96135,3.0,-0.0428104,-0.0077726,-0.120142,10.0,-0.67787,12.0,8.66503,0.000331626,0.988272,1.0,0.167829,20.0,8.30619,0.0249571,13.7207,3.02663395418,1.0,1.0,8.51358,0.103151,0.0316854,179,0.0324341,0.0,9.33457,1.0474015595391393,14,0.628970902033,-0.0375126,-0.11826,0.000316661,0.0312644,0.169837
0.0319479,17.0338983051,0.588197,1.0,16.410413595847785,15873,0.0,5.81976744186,17.0338983051,1.0,1.0,-0.129763,16000,270.8198787756264,-0.471649,0.00112893,-0.993354,18.08423321507871,-2.82572,8.05631,2805,0.0582679,0.6110831219702959,9.15258,3.0,0.0303834,0.0241494,-0.141995,14.0,-0.709532,20.0,8.89026,7.84497e-05,0.995011,1.0,0.167662,21.0,8.46623,0.0759325,8.44754,3.2967679651,1.0,1.0,8.78358,0.22906,0.0100876,172,0.0102256,0.0,9.53472,1.0627364972606301,15,1.74633855897,0.0363465,-0.127806,0.00260106,0.00983666,0.167575
0.0101441,8.6724137931,0.577027,1.0,19.64016285352409,16873,0.0,5.53888888889,8.6724137931,1.0,1.0,-0.129056,17000,292.19808168150485,-0.515163,0.000615355,-0.994328,21.354406954720616,-1.41639,8.28367,2985,0.0243533,0.6641281247138977,9.17313,3.0,0.00853938,0.0124094,-0.131809,8.0,-0.6912,9.0,8.94595,0.000150681,0.995799,1.0,0.101613,18.0,8.57178,0.0798515,16.1786,2.87201804561,1.0,1.0,8.88184,0.126981,0.0565088,180,0.0567747,0.0,9.50869,1.0501159764826298,16,0.469333020304,0.011964,-0.12651,0.000654086,0.0562099,0.119181
0.0574241,13.8356164384,0.585218,1.0,16.711938166059554,17873,0.0,5.72571428571,13.8356164384,1.0,1.0,-0.137756,18000,310.63105558324605,-0.43747,0.000926355,-0.991507,18.415735539980233,-0.789334,8.22686,3160,0.00885845,0.6297615272924304,9.17916,3.0,0.0553919,0.00525877,-0.144844,12.0,-0.671295,16.0,8.7627,0.00128213,0.99662,1.0,0.0947569,21.0,8.49727,0.00288764,12.5642,3.3863881186,1.0,1.0,8.9084,0.104149,0.0157954,175,0.0174279,0.0,9.47898,1.0740358466282487,17,1.02052496067,0.0603866,-0.132719,0.00201424,0.0126968,0.0948498
0.0151433,11.8117647059,0.600794,1.0,15.786216665059328,18873,0.0,5.69714285714,11.8117647059,1.0,1.0,-0.1242,19000,328.0972866071388,-0.481733,0.00493184,-0.995717,17.498851655982435,-1.32573,8.08733,3335,0.0348745,0.621067781932652,8.99373,3.0,0.000694089,-0.0240562,-0.137823,11.0,-0.682182,13.0,8.81983,4.34136e-05,0.987635,1.0,0.172163,18.0,8.45888,0.113657,12.5555,3.04719878055,1.0,1.0,8.60504,0.116101,0.026764,175,0.0268719,0.0,9.39482,1.0915672089904547,18,0.694416685335,0.0216301,-0.119073,0.0037249,0.0265606,0.16154
0.0269597,7.62121212121,0.592307,1.0,19.08576136175543,19873,0.0,5.6404494382,7.62121212121,1.0,1.0,-0.133503,20000,348.9014690788463,-0.484042,0.000558117,-0.991452,20.78989676758647,-0.914791,8.16186,3513,0.0417713,0.6447062212973833,9.50338,3.0,0.0242398,-0.0191028,-0.137557,7.0,-0.671538,8.0,9.03611,0.00150903,0.98518,1.0,0.131338,26.0,8.64158,-0.117188,13.1231,3.23168022882,1.0,1.0,8.96946,0.0948759,-0.0753921,178,-0.0726707,0.0,9.93171,1.0594291845336556,19,0.485085169502,0.029601,-0.131364,0.00105024,-0.077441,0.125217
