Log Pis Min,Test Returns Mean,Test Rewards Min,Policy mu Std,VF Loss,Exploration Actions Max,V Predictions Mean,Log Pis Std,Test Actions Min,Policy mu Max,Policy log std Mean,Log Pis Mean,Test Actions Mean,Policy log std Std,Test Rewards Std,Epoch Time (s),Exploration Returns Mean,AverageReturn,Exploration Rewards Max,Epoch,Exploration Actions Min,Test Actions Max,Q Predictions Max,Train Time (s),Exploration Returns Min,Q Predictions Min,Exploration Actions Std,Exploration Actions Mean,Number of env steps total,Test Returns Std,Exploration Returns Std,Policy mu Min,Q Predictions Mean,V Predictions Std,Q Predictions Std,Policy Loss,Test Rewards Max,Total Train Time (s),Test Actions Std,V Predictions Max,Num Paths,Test Returns Max,Number of rollouts total,Test Rewards Mean,Exploration Rewards Std,Exploration Rewards Min,V Predictions Min,Policy log std Min,Policy log std Max,Policy mu Mean,Number of train steps total,(Previous) Eval Time (s),Log Pis Max,Sample Time (s),Test Returns Min,Exploration Returns Max,Exploration Rewards Mean,QF Loss
-0.919887,64.5,1.0,0.000159852,0.492936,0.99142,-0.000216575,0.22361,-0.070507,-0.000243075,0.000924531,-0.667012,9.32928e-05,0.000150586,0.0,1349.299362944439,4.0081300813,64.5,0.5,0,-0.997517,0.0730497,-0.000714507,1340.34172265511,1.5,-0.00262662,0.590477,-0.00148065,1000,12.3490890352,3.14938614475,-0.000890078,-0.0016814,0.000777026,0.000533706,0.49392,1.0,1356.2103877682239,0.0226856,0.00129434,123,88.0,123,1.0,0.0,0.5,-0.00161581,0.000753053,0.00158424,-0.000475895,3492,0,-0.263106,8.957640289328992,48.0,19.0,0.5,0.251491
-2.6877,74.4285714286,1.0,0.486862,3.51044,0.995543,8.56062,0.608993,-0.157849,0.904745,-0.248491,-0.461269,0.0226303,0.0264253,0.0,1548.3377548772842,6.57792207792,74.4285714286,0.5,1,-0.999004,0.217431,10.1852,1532.433718431741,1.5,-0.521423,0.621227,0.0119465,2000,2.79576939868,4.54205810026,-0.920661,7.91816,0.284612,2.15291,0.381904,1.0,2905.1846674550325,0.0809812,9.37836,77,78.0,200,1.0,0.0,0.5,7.91731,-0.276034,-0.166654,0.0280734,7492,6.916564177721739,0.90504,8.987472267821431,69.0,23.5,0.5,1.77707
-2.15812,39.8076923077,1.0,0.613818,6.29964,0.987426,10.8164,0.639468,-0.070055,1.34118,-0.238068,-0.339669,0.0654103,0.165195,0.0,1546.2351392693818,6.08024691358,39.8076923077,0.5,2,-0.994573,0.344877,13.1076,1529.4258436579257,1.5,-0.0279298,0.629527,0.0263009,3000,0.556032011338,5.24019177279,-1.287,9.73654,0.80823,2.99397,0.746995,1.0,4452.287012921646,0.0614718,12.3812,81,41.0,281,1.0,0.0,0.5,7.87133,-0.66099,-0.0787704,-0.0556004,11492,7.563156654126942,1.39492,9.246138957329094,39.0,21.0,0.5,2.47581
-1.25355,48.1904761905,1.0,0.470083,6.49992,0.99472,11.8681,0.558133,-0.941402,1.4079,-0.288532,-0.431769,-0.0519458,0.211539,0.0,1552.2260879129171,10.2708333333,48.1904761905,0.5,3,-0.986563,0.529975,18.0854,1534.462681049481,1.5,-1.66834,0.576866,-0.0103561,4000,1.43490658794,8.64216789771,-1.28607,11.1311,1.11485,2.97944,0.925879,1.0,6003.655894209631,0.197103,16.9448,48,50.0,329,1.0,0.0,0.5,7.19085,-0.998378,-0.133733,-0.0874998,15492,8.42319359909743,1.79478,9.340213264338672,46.0,34.0,0.5,1.21397
-2.2457,43.0416666667,1.0,0.817013,6.53543,0.980135,19.5368,0.805098,-0.471138,1.91062,-1.07839,0.336699,0.0684555,0.159637,0.0,1551.2251650821418,24.8,43.0416666667,0.5,4,-0.968177,0.978643,23.5412,1534.5494579942897,20.0,0.835194,0.425353,0.030407,5000,0.454529671443,5.28062496301,-1.70083,18.661,2.9478,4.04293,-0.267228,1.0,7552.952759758569,0.177305,23.1304,20,44.0,349,1.0,0.0,0.5,5.90579,-1.4976,-0.714011,0.0322855,19492,7.571027488447726,2.38337,9.104679599404335,42.0,37.0,0.5,2.13938
-5.40145,55.3157894737,1.0,0.957288,15.1253,0.992151,43.1951,1.10597,-0.398003,2.2731,-1.03637,0.531885,0.0433862,0.348507,0.0,1544.5942909261212,21.8260869565,55.3157894737,0.5,5,-0.933735,0.993212,60.5821,1529.7650577481836,19.5,-1.06767,0.387575,0.062272,6000,0.798197415163,1.92019414582,-2.13514,40.6906,9.5717,13.5459,-1.53484,1.0,9099.09558667615,0.127582,57.9445,23,57.0,372,1.0,0.0,0.5,2.16198,-2.05303,-0.405704,-0.305202,23492,5.638483768329024,3.15126,9.190749409608543,54.0,28.0,0.5,4.16614
-4.00913,91.0909090909,1.0,0.984222,13.1468,0.99322,57.4922,1.20286,-0.196787,2.86161,-1.06449,0.399885,0.0220126,0.267851,0.0,1546.8610182674602,35.0714285714,91.0909090909,0.5,6,-0.99429,0.889542,72.0897,1530.3720526155084,24.5,-1.33354,0.48819,0.0240115,7000,2.60958183535,10.065601151,-2.2814,53.4922,14.5681,19.0194,0.427173,1.0,10645.015118922107,0.0757169,70.6986,14,97.0,386,1.0,0.0,0.5,8.4632,-2.26028,-0.573936,-0.0215558,27492,7.196655537001789,4.62811,9.292310114949942,88.0,63.0,0.5,24.8
-4.15107,999.0,1.0,1.07175,10.5059,0.994925,59.3356,1.35459,-0.0873813,3.13214,-0.86789,0.389802,-4.4065e-05,0.171788,0.0,1548.837489426136,111.5,999.0,0.5,7,-0.982468,0.145381,89.8837,1533.5499743735418,64.5,-5.91348,0.534485,-0.016643,8000,0.0,34.7005043191,-3.15521,57.226,28.72,30.0658,-1.4623,1.0,12200.810969799757,0.00448538,86.6003,4,999.0,390,1.0,0.0,0.5,-8.0652,-1.20677,-0.319193,0.120827,31492,6.24679862242192,5.16853,9.040716430172324,999.0,152.0,0.5,17.7154
