Log Pis Min,Test Returns Mean,Test Rewards Min,Policy mu Std,VF Loss,Exploration Actions Max,V Predictions Mean,Log Pis Std,Test Actions Min,Policy mu Max,Policy log std Mean,Log Pis Mean,Test Actions Mean,Policy log std Std,Test Rewards Std,Epoch Time (s),Exploration Returns Mean,AverageReturn,Exploration Rewards Max,Epoch,Exploration Actions Min,Test Actions Max,Q Predictions Max,Train Time (s),Exploration Returns Min,Q Predictions Min,Exploration Actions Std,Exploration Actions Mean,Number of env steps total,Test Returns Std,Exploration Returns Std,Policy mu Min,Q Predictions Mean,V Predictions Std,Q Predictions Std,Policy Loss,Test Rewards Max,Total Train Time (s),Test Actions Std,V Predictions Max,Num Paths,Test Returns Max,Number of rollouts total,Test Rewards Mean,Exploration Rewards Std,Exploration Rewards Min,V Predictions Min,Policy log std Min,Policy log std Max,Policy mu Mean,Number of train steps total,(Previous) Eval Time (s),Log Pis Max,Sample Time (s),Test Returns Min,Exploration Returns Max,Exploration Rewards Mean,QF Loss
-0.919955,24.8780487805,1.0,0.000163342,0.492763,0.992231,-0.000115604,0.223596,-0.00289885,-0.000242541,0.000932093,-0.667031,-0.000874287,0.000174175,0.0,346.4350656121969,27.4585635359,24.8780487805,5.0,0,-0.986211,0.00155447,-0.000643322,338.02977220434695,15.0,-0.00263885,0.600217,0.0357436,1000,4.77899429134,17.6179433938,-0.000943454,-0.00170019,0.00077075,0.000525659,0.493842,1.0,350.86226309929043,0.000799686,0.00156395,181,39.0,181,1.0,0.0,5.0,-0.00157601,0.000750212,0.00170972,-0.000495665,873,0,-0.262612,8.405293407849967,18.0,125.0,5.0,25.0154
-0.915745,12.0238095238,1.0,0.00336356,0.16401,0.989425,23.1676,0.116153,0.0243532,0.00441417,-0.0979291,-0.678082,0.0251875,0.00449079,0.0,401.29683731496334,25.7179487179,12.0238095238,5.0,1,-0.997193,0.0269274,24.5784,387.7355591133237,15.0,21.2953,0.600684,-0.0318063,2000,0.723355120522,13.1849734166,-0.00589124,22.7514,0.51982,0.551639,0.211284,1.0,752.4925998626277,0.000676961,25.0053,195,13.0,376,1.0,0.0,5.0,21.9846,-0.106323,-0.086468,-0.00109582,1873,4.436325560323894,-0.464406,9.124952641315758,11.0,85.0,5.0,62.3844
-1.22841,9.22935779817,1.0,0.00165144,0.0452505,0.990014,27.4159,0.097059,-0.049457,0.0275361,-0.148716,-0.68802,-0.0478432,0.00658518,0.0,399.7488495958969,26.7914438503,9.22935779817,5.0,2,-0.983289,-0.0465268,29.2616,385.7242890903726,15.0,24.1196,0.580429,-0.0171053,3000,0.420419788528,14.2410242508,0.0175224,26.8564,0.825423,0.812227,0.0991548,1.0,1153.3138770284131,0.000913866,29.812,187,10.0,563,1.0,0.0,5.0,24.7802,-0.159264,-0.132568,0.0243975,2873,4.767465444281697,-0.506411,9.25709506124258,9.0,95.0,5.0,114.001
-1.60645,18.0535714286,1.0,0.00119794,0.0339592,0.990948,28.0444,0.139014,-0.00721527,-0.0457192,-0.123613,-0.696119,-0.00665677,0.00183808,0.0,399.4754656655714,29.0697674419,18.0535714286,5.0,3,-0.993804,-0.0064603,29.3638,384.68175722751766,10.0,25.8245,0.592566,0.0468479,4000,2.1910503259,15.7009040605,-0.0498974,27.4696,0.635848,0.62764,0.10586,1.0,1552.0684428131208,0.000171926,29.9779,172,23.0,735,1.0,0.0,5.0,26.3086,-0.126227,-0.116724,-0.0473041,3873,5.83982337731868,-0.430204,8.953885060735047,15.0,105.0,5.0,127.742
-1.158,5.46195652174,1.0,0.000696619,0.0137404,0.986101,29.2795,0.0963608,0.157169,-0.00622308,-0.127597,-0.683851,0.158468,0.00496238,0.0,400.9085980216041,26.3563829787,5.46195652174,5.0,4,-0.99141,0.160608,31.0535,386.2982311155647,15.0,26.5592,0.584739,-0.0276312,5000,0.498550592981,13.3347096157,-0.00870555,28.5303,0.943369,0.941665,-0.0354567,1.0,1955.0954661229625,0.00107477,31.77,188,6.0,923,1.0,0.0,5.0,27.3067,-0.13511,-0.118673,-0.00726771,4873,5.14201389066875,-0.511966,9.468353015370667,5.0,105.0,5.0,149.836
-1.57601,6.0,1.0,0.00265642,0.145253,0.984738,29.0802,0.218169,-0.139404,0.170527,-0.128564,-0.695339,-0.134688,0.0020505,0.0,405.57701534964144,26.5789473684,6.0,5.0,5,-0.997104,-0.132068,29.393,388.64392609894276,15.0,26.598,0.586969,-0.0364147,6000,0.0,12.7271603046,0.155378,28.025,0.665325,0.607973,-0.216905,1.0,2360.962186191231,0.00245881,30.4988,190,6.0,1113,1.0,0.0,5.0,27.5046,-0.132851,-0.122247,0.161118,5873,7.244155405089259,-0.235088,9.688933845609426,6.0,85.0,5.0,138.632
-1.31255,10.0,1.0,0.0042532,0.0333532,0.991402,29.6048,0.207693,-0.0419191,-0.131966,-0.143982,-0.669218,-0.0387773,0.00277013,0.0,403.70227903779596,28.6781609195,10.0,5.0,6,-0.988147,-0.0378559,30.5937,386.5841434840113,15.0,27.3884,0.59846,0.013652,7000,0.507371404963,15.4707690652,-0.147205,28.8611,0.360708,0.459379,-0.0637026,1.0,2765.2916435040534,0.0010588,30.9689,174,11.0,1287,1.0,0.0,5.0,28.352,-0.155328,-0.140595,-0.139692,6873,7.5370952086523175,-0.294728,9.581040345132351,9.0,95.0,5.0,134.375
-2.62346,6.3417721519,1.0,0.00457924,0.0782539,0.996471,29.5579,0.208328,0.11201,-0.0361644,-0.132989,-0.701261,0.112994,0.00107052,0.0,402.3576598353684,25.824742268,6.3417721519,5.0,7,-0.997144,0.114957,32.3486,384.6729218987748,15.0,25.4417,0.597343,0.0504613,8000,0.474303645448,11.4126086082,-0.0598611,28.8946,1.35635,1.26813,0.0827089,1.0,3168.814603504725,0.000633499,33.3391,194,7.0,1481,1.0,0.0,5.0,26.0592,-0.135472,-0.130165,-0.0415991,7873,8.163710446096957,-0.458402,9.521027490496635,6.0,70.0,5.0,118.813
-1.60302,6.06626506024,1.0,0.00189538,0.0310666,0.988199,28.6237,0.177605,-0.120195,0.12493,-0.13617,-0.69232,-0.117321,0.00485462,0.0,404.0990283302963,26.8279569892,6.06626506024,5.0,8,-0.990158,-0.116204,29.3873,385.15078704152256,15.0,26.7388,0.615614,-0.014227,9000,0.248744853278,13.9947176332,0.110816,28.0452,0.375197,0.411935,0.0847701,1.0,3572.1414001304656,0.0010128,29.8657,186,7.0,1667,1.0,0.0,5.0,27.3851,-0.143971,-0.12882,0.114578,8873,9.322502095252275,-0.327025,9.62573919352144,6.0,100.0,5.0,130.895
-1.6608,7.0,1.0,0.00558333,0.0632701,0.990336,28.9513,0.168337,-0.088078,-0.105589,-0.144662,-0.704379,-0.0855901,0.00429379,0.0,406.4555203448981,27.9608938547,7.0,5.0,9,-0.995674,-0.0843268,30.0761,388.5318767996505,15.0,27.0341,0.585841,-0.0265376,10000,0.0,14.9637786614,-0.140418,28.4442,0.45009,0.446434,0.156944,1.0,3977.5840654214844,0.00124719,30.7209,179,7.0,1846,1.0,0.0,5.0,27.5922,-0.148531,-0.130275,-0.116893,9873,8.552811037749052,-0.345956,9.370832507498562,7.0,100.0,5.0,111.311
