Exploration Rewards Std,Policy mu Std,AverageReturn,Test Rewards Std,Test Returns Mean,Policy mu Min,Policy log std Mean,Exploration Returns Mean,Q Predictions Mean,Test Returns Std,Policy log std Max,Epoch Time (s),Total Train Time (s),QF Loss,Exploration Returns Max,V Predictions Mean,Number of env steps total,Log Pis Min,VF Loss,Test Actions Mean,Policy mu Mean,Number of rollouts total,Exploration Rewards Min,Log Pis Std,Policy log std Std,V Predictions Min,Policy log std Min,Sample Time (s),Q Predictions Max,Exploration Returns Min,Number of train steps total,Test Actions Min,Q Predictions Std,V Predictions Std,Exploration Rewards Mean,Exploration Rewards Max,Num Paths,Log Pis Mean,V Predictions Max,Policy mu Max,Test Actions Std,Test Returns Max,Exploration Actions Std,Exploration Actions Min,Exploration Returns Std,Exploration Actions Max,Policy Loss,Train Time (s),Test Actions Max,Test Rewards Min,Test Rewards Mean,Epoch,Log Pis Max,(Previous) Eval Time (s),Exploration Actions Mean,Q Predictions Min,Test Rewards Max,Test Returns Min
0.0,0.00466371,25.55,0.0,25.55,-0.0120975,-0.13356,5.84795321637,8.32785,6.45348742929,-0.132475,36.96440377831459,382.49628151673824,13.868,30.0,8.86938,11000,-1.85548,0.0609759,-0.00173673,-0.00592875,1940,1.0,0.188246,0.000895675,8.73522,-0.136123,0.52683693356812,8.50893,3.0,43492,-0.00650755,0.0684258,0.0317799,1.0,1.0,171,-0.702788,8.99463,0.00364102,0.001142,45.0,0.588304,-0.99383,3.52107006564,0.994581,0.145996,35.94931603129953,-0.000775819,1.0,1.0,10,-0.516458,0.488250813446939,-0.0190523,8.1983,1.0,18.0
0.0,0.00266287,11.3258426966,0.0,11.3258426966,-0.0163355,-0.141661,5.6404494382,8.39276,0.556378355197,-0.139988,37.02124050445855,419.4934502383694,11.8163,19.0,9.11001,12000,-1.18271,0.0129908,-0.0276948,-0.00347403,2118,1.0,0.100969,0.00134295,8.60864,-0.147668,0.5488494578748941,8.88635,2.0,47492,-0.0284071,0.182692,0.16182,1.0,1.0,178,-0.674375,9.5469,-0.000286248,0.000332528,12.0,0.591499,-0.979311,3.18263261465,0.982439,-0.0216363,35.93594109453261,-0.0271212,1.0,1.0,11,-0.535446,0.5364499520510435,0.0183694,7.81761,1.0,10.0
0.0,0.00160809,7.99206349206,0.0,7.99206349206,-0.0334986,-0.136008,5.48901098901,8.41702,0.08873285625,-0.134997,36.77222420834005,456.280849641189,11.8088,17.0,9.04085,13000,-1.12666,0.0133781,-0.0686099,-0.0278904,2300,1.0,0.0976449,0.000503809,8.90265,-0.137493,0.5309476032853127,8.64927,3.0,51492,-0.0694244,0.0755685,0.0412379,1.0,1.0,182,-0.673691,9.21828,-0.0252355,0.000413136,8.0,0.588083,-0.990142,2.76106965056,0.996341,0.04043,35.72863418981433,-0.0678669,1.0,1.0,12,-0.486151,0.512642415240407,0.0101182,8.19961,1.0,7.0
0.0,0.00153,15.303030303,0.0,15.303030303,-0.0722945,-0.132222,5.6384180791,8.33517,1.26694211881,-0.126943,36.763597782701254,493.02924849372357,13.7144,20.0,9.20748,14000,-1.38643,0.0557727,-0.0120787,-0.0683679,2477,1.0,0.141231,0.00219529,8.72662,-0.135013,0.5301108192652464,8.96123,3.0,55492,-0.0124447,0.193081,0.121422,1.0,1.0,177,-0.696185,9.71346,-0.0659007,0.000163459,18.0,0.582346,-0.988803,3.14333548154,0.990239,-0.134245,35.70492917113006,-0.0118738,1.0,1.0,13,-0.410219,0.5285577923059464,-0.000381014,7.76785,1.0,13.0
0.0,0.00057173,11.5287356322,0.0,11.5287356322,-0.0138375,-0.12798,5.07614213198,8.55366,0.584061885789,-0.126482,36.64071319438517,529.678589255549,12.6064,18.0,9.33853,15000,-0.979693,0.0176139,-0.0261515,-0.0115847,2674,1.0,0.0927617,0.000451819,8.90686,-0.128766,0.5293518556281924,9.01062,3.0,59492,-0.0262804,0.186034,0.161608,1.0,1.0,197,-0.693171,9.77087,-0.010249,8.01422e-05,13.0,0.58549,-0.991601,2.62345711778,0.991209,-0.0586955,35.59805535990745,-0.0259703,1.0,1.0,14,-0.504431,0.5133059788495302,0.00166236,8.07648,1.0,11.0
0.0,0.000678041,22.5111111111,0.0,22.5111111111,-0.0281118,-0.131479,5.69886363636,8.00237,5.49190200698,-0.130358,36.705884508788586,566.3676792811602,10.6168,31.0,8.66234,16000,-1.15448,0.0096438,0.00479088,-0.026128,2850,1.0,0.100836,0.00146281,8.33368,-0.139078,0.5338285751640797,8.24458,2.0,63492,0.00140265,0.0811556,0.077977,1.0,1.0,176,-0.680814,8.92918,-0.0229291,0.00116408,39.0,0.59406,-0.993909,3.74851468518,0.989593,0.0227161,35.649842873215675,0.0078833,1.0,1.0,15,-0.480946,0.5222130604088306,-0.0384667,7.66729,1.0,17.0
0.0,0.00297592,13.8767123288,0.0,13.8767123288,-5.87823e-05,-0.133244,5.72,8.64038,0.905768507113,-0.133028,38.0491010947153,604.4218825306743,10.6415,19.0,9.22449,17000,-1.12064,0.0217864,0.0169858,0.00436642,3025,1.0,0.097935,0.000198945,9.0434,-0.134207,0.5410231091082096,8.96513,3.0,67492,0.0159672,0.084711,0.0790484,1.0,1.0,175,-0.690232,9.51372,0.0131141,0.000390282,16.0,0.588393,-0.99326,3.31341860578,0.994013,0.0819551,37.00222624372691,0.0176276,1.0,1.0,16,-0.51797,0.5058517418801785,0.0137907,8.432,1.0,12.0
0.0,0.00136767,11.4886363636,0.0,11.4886363636,0.0136263,-0.131152,5.55,8.31854,0.543438509146,-0.128983,38.93534967675805,643.3654891960323,11.4561,20.0,8.86098,18000,-1.33648,0.0404201,0.0286478,0.0170527,3205,1.0,0.13265,0.000889035,8.46567,-0.133228,0.5433696620166302,8.59536,3.0,71492,0.0274162,0.0904189,0.121302,1.0,1.0,180,-0.693412,9.17798,0.0200534,0.000989643,13.0,0.591224,-0.983877,2.97073690821,0.988274,0.121877,37.880636697635055,0.0311231,1.0,1.0,17,-0.496728,0.5113433171063662,0.00104932,8.02707,1.0,10.0
0.0,0.00165274,11.1666666667,0.0,11.1666666667,0.0261001,-0.136032,6.13496932515,8.42804,0.636832439151,-0.135581,40.96998948697001,684.3329033302143,8.9539,22.0,9.2673,19000,-0.89179,0.0381108,-0.0291117,0.0294307,3368,1.0,0.0965691,0.000325941,9.01759,-0.137367,0.5496922377496958,8.71143,3.0,75492,-0.0299579,0.0757016,0.0734978,1.0,1.0,163,-0.667048,9.53102,0.0324133,0.000482511,12.0,0.590166,-0.990164,3.2813197581,0.993379,-0.10662,39.90056359488517,-0.0277824,1.0,1.0,18,-0.481646,0.5197336543351412,-0.0029177,8.18445,1.0,10.0
0.0,0.00184004,49.6666666667,0.0,49.6666666667,-0.0300347,-0.130829,10.875,8.48277,10.134022533,-0.12968,41.134180910885334,725.437308812514,9.31085,53.0,9.31277,20000,-0.852713,0.0291738,-0.0113086,-0.0274528,3456,1.0,0.0986951,0.000779591,8.92918,-0.132312,0.5476038549095392,8.89974,3.0,79492,-0.0664103,0.122664,0.124865,1.0,1.0,88,-0.670188,9.72019,-0.0233483,0.0191822,82.0,0.516212,-0.993672,11.9542808042,0.995028,-0.0886597,40.06928749848157,0.067579,1.0,1.0,19,-0.475897,0.5172895574942231,0.00946134,8.21439,1.0,38.0
